apple_mobility_14d,google_mobility_14d,fb_movement_change,asbestosis_mortality,pneumoconiosis_mortality,diarrheal_mortality,other_pneumoconiosis_mortality,silicosis_mortality,COPD_mortality,chronic_respiratory_mortality,interstitial_lung_mortality,other_resp_mortality,POP_DENSITY,predicted,real_values
116.38499999999992,-8.77619047619047,-0.07226500000000005,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,6.8366685,8.0
116.90071428571423,-8.719047619047611,-0.06979928571428577,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,6.977225,9.0
117.63999999999993,-8.528571428571423,-0.06862000000000004,0.31,0.85,3.53,0.39,0.04,48.44,59.24,6.92,1.35,593.4293429342936,7.1683736,9.0
104.54999999999998,2.511904761904765,-0.039547857142857135,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,1.70098,2.0
94.64499999999998,-0.4880952380952355,-0.07318142857142858,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,1.622062,2.0
88.50571428571428,-4.488095238095236,-0.11632857142857145,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,2.364013,2.0
82.06714285714284,-7.011904761904758,-0.15268285714285715,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,2.7023866,2.0
77.10071428571429,-7.952380952380947,-0.1775085714285714,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,2.711034,2.0
74.21142857142857,-8.892857142857137,-0.19063642857142854,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,2.7125862,2.0
73.28142857142858,-8.559523809523803,-0.19886142857142852,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,2.9012163,3.0
70.55499999999998,-9.499999999999996,-0.21632071428571426,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,3.1927545,2.0
70.25857142857143,-9.345238095238091,-0.21814357142857135,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,3.2060487,2.0
69.48357142857142,-9.821428571428568,-0.222295,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,3.143409,2.0
68.64999999999999,-10.892857142857137,-0.2297885714285714,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,3.1285517,3.0
69.06785714285714,-9.84523809523809,-0.22603071428571425,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,3.1804965,3.0
69.20071428571427,-10.309523809523805,-0.22485857142857135,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,3.1281936,4.0
69.92285714285715,-13.095238095238088,-0.2348114285714285,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,3.533933,4.0
73.33857142857143,-13.773809523809517,-0.228255,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,3.7978737,4.0
76.44857142857144,-13.142857142857132,-0.2202085714285714,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,3.8022316,4.0
80.16428571428574,-12.297619047619042,-0.2039935714285714,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,3.465729,3.0
83.15428571428573,-9.178571428571429,-0.1761364285714286,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,3.4314115,3.0
86.84857142857143,-7.321428571428568,-0.15733214285714284,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,3.0069144,2.0
88.07857142857141,-5.928571428571424,-0.1450957142857143,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,2.6991007,3.0
91.9742857142857,-3.821428571428569,-0.1289714285714286,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,2.582784,3.0
94.72499999999998,-2.8095238095238058,-0.11894571428571432,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,2.586106,2.0
121.30928571428568,0.2857142857142894,-0.08545285714285715,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,5.434064,6.0
125.385,2.619047619047623,-0.060329285714285724,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,5.672791,6.0
125.89285714285714,2.2619047619047663,-0.055132857142857164,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,5.9977894,7.0
131.60785714285709,2.5357142857142896,-0.043150000000000036,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,6.999704,7.0
137.59642857142856,3.952380952380957,-0.03331785714285716,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,8.072128,8.0
89.53571428571432,-6.6309523809523805,-0.1448385714285714,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,2.4222872,1.0
50.78071428571433,-25.61904761904761,-0.39253499999999997,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,2.3957539,2.0
43.35000000000003,-29.869047619047624,-0.4526707142857143,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,3.315973,2.0
42.38214285714288,-33.464285714285715,-0.4658892857142858,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,4.75278,3.0
42.8864285714286,-33.785714285714285,-0.4645371428571429,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,4.961286,3.0
43.798571428571464,-33.32142857142857,-0.4594657142857143,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,4.98302,3.0
51.00000000000002,-30.142857142857146,-0.4059571428571429,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,4.4114847,2.0
53.712142857142865,-28.547619047619058,-0.3846164285714286,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,4.408387,3.0
59.99714285714289,-26.464285714285715,-0.3465999999999999,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,5.0256414,3.0
63.292142857142885,-25.511904761904763,-0.33517642857142843,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,4.8038387,3.0
71.17071428571431,-24.166666666666664,-0.3186049999999999,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,4.574243,4.0
