apple_mobility_7d,google_mobility_7d,fb_movement_change,asbestosis_mortality,pneumoconiosis_mortality,diarrheal_mortality,other_pneumoconiosis_mortality,silicosis_mortality,COPD_mortality,chronic_respiratory_mortality,interstitial_lung_mortality,other_resp_mortality,POP_DENSITY,predicted,real_values
73.83285714285716,-15.047619047619042,-0.2359242857142858,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,143.17032,87.0
80.17,-12.21428571428571,-0.2001828571428572,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,131.92825,109.0
81.79285714285716,-10.952380952380947,-0.19097714285714293,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,131.8023,113.0
81.06142857142859,-11.976190476190474,-0.1965428571428572,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,133.78722,112.0
82.00857142857146,-11.428571428571427,-0.1930057142857144,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,137.5636,169.0
109.98857142857149,-1.1666666666666654,-0.10457285714285723,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,194.00494,180.0
113.61142857142865,-1.023809523809523,-0.09835857142857153,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,215.68091,196.0
117.41000000000008,-0.07142857142857004,-0.08656142857142868,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,233.998,202.0
121.98285714285718,0.26190476190476325,-0.08392714285714296,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,308.50787,422.0
129.80285714285722,4.261904761904764,-0.026338571428571537,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,221.45213,183.0
132.46857142857152,0.5000000000000016,-0.05253714285714296,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,371.01648,322.0
143.28714285714295,6.547619047619048,-0.01581285714285724,0.21,0.52,2.14,0.26,0.04,47.26,56.71,6.26,0.92,516.8202158462753,373.98007,404.0
103.42857142857149,0.4047619047619068,-0.06675285714285714,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,12.0670185,1.0
42.77571428571434,-29.92857142857143,-0.4559771428571429,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,-0.57215655,56.0
41.89142857142862,-32.09523809523809,-0.4695442857142858,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,9.346453,73.0
41.91571428571434,-32.11904761904763,-0.4699428571428572,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,8.910936,58.0
42.44714285714292,-33.71428571428573,-0.4699642857142857,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,37.633644,61.0
44.46285714285721,-31.880952380952397,-0.4482042857142857,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,41.89402,66.0
48.218571428571494,-31.523809523809533,-0.42591,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,64.41235,82.0
50.51857142857149,-29.64285714285716,-0.40844,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,65.349396,168.0
53.81428571428578,-29.16666666666668,-0.3841528571428573,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,79.5048,126.0
66.54428571428575,-25.26190476190477,-0.3339900000000001,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,162.01727,145.0
70.19714285714291,-25.428571428571445,-0.3210714285714288,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,206.35178,170.0
73.15142857142862,-24.023809523809533,-0.3101928571428573,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,200.51198,178.0
82.23857142857148,-22.90476190476192,-0.2910828571428573,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,230.34805,167.0
85.91571428571432,-19.66666666666668,-0.2651742857142859,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,223.36157,260.0
88.78857142857146,-18.738095238095237,-0.24969142857142884,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,243.48843,267.0
92.14142857142859,-18.404761904761926,-0.2340514285714288,0.14,0.26,2.48,0.09,0.01,28.57,36.12,5.43,0.5,2255.1116222432693,269.96674,311.0
92.28285714285721,-2.5476190476190474,-0.11138857142857142,0.16,0.27,2.37,0.09,0.02,32.77,40.34,5.47,0.57,1605.9969282323373,58.418583,4.0
78.28571428571433,-10.714285714285714,-0.22070285714285712,0.16,0.27,2.37,0.09,0.02,32.77,40.34,5.47,0.57,1605.9969282323373,253.32623,5.0
56.54142857142861,-19.47619047619047,-0.38558,0.16,0.27,2.37,0.09,0.02,32.77,40.34,5.47,0.57,1605.9969282323373,124.79286,11.0
50.75428571428574,-26.73809523809525,-0.4579357142857144,0.16,0.27,2.37,0.09,0.02,32.77,40.34,5.47,0.57,1605.9969282323373,10.194582,54.0
55.73571428571432,-26.66666666666667,-0.4242642857142857,0.16,0.27,2.37,0.09,0.02,32.77,40.34,5.47,0.57,1605.9969282323373,74.248055,68.0
56.21571428571432,-26.904761904761912,-0.4218871428571429,0.16,0.27,2.37,0.09,0.02,32.77,40.34,5.47,0.57,1605.9969282323373,82.95211,70.0
