region,Location,smoking_prevalence
TX,Liberty County,26.26
TX,Limestone County,23.98
TX,Lipscomb County,19.27
TX,Live Oak County,21.2
TX,Llano County,24.21
TX,Loving County,27.19
TX,Lubbock County,20.36
TX,Lynn County,20.39
TX,McCulloch County,22.0
TX,McLennan County,20.7
TX,McMullen County,25.15
TX,Madison County,25.42
TX,Marion County,25.5
TX,Martin County,21.42
TX,Mason County,17.4
TX,Matagorda County,20.83
TX,Maverick County,16.1
TX,Medina County,18.38
TX,Menard County,20.86
TX,Midland County,19.6
TX,Milam County,22.5
TX,Mills County,20.81
TX,Mitchell County,23.74
TX,Montague County,23.82
TX,Montgomery County,18.98
TX,Moore County,20.57
TX,Morris County,23.92
TX,Motley County,19.96
TX,Nacogdoches County,20.62
TX,Navarro County,23.54
TX,Newton County,26.92
TX,Nolan County,22.42
TX,Nueces County,19.26
TX,Ochiltree County,21.71
TX,Oldham County,19.04
TX,Orange County,26.81
TX,Palo Pinto County,25.08
TX,Panola County,25.94
TX,Parker County,21.18
TX,Parmer County,19.78
TX,Pecos County,20.38
TX,Polk County,26.8
TX,Potter County,23.51
TX,Presidio County,14.7
TX,Rains County,25.94
TX,Randall County,18.59
TX,Reagan County,21.19
TX,Real County,19.6
TX,Red River County,26.27
TX,Reeves County,21.05
TX,Refugio County,20.77
TX,Roberts County,15.75
TX,Robertson County,23.03
TX,Rockwall County,16.46
TX,Runnels County,22.08
TX,Rusk County,24.24
TX,Sabine County,26.15
TX,San Augustine County,27.94
TX,San Jacinto County,25.8
TX,San Patricio County,20.58
TX,San Saba County,23.17
TX,Schleicher County,17.35
TX,Scurry County,22.19
TX,Shackelford County,20.68
TX,Shelby County,23.62
TX,Sherman County,17.0
TX,Smith County,20.74
TX,Somervell County,18.02
TX,Starr County,17.64
TX,Stephens County,24.77
TX,Sterling County,17.79
TX,Stonewall County,17.35
TX,Sutton County,19.05
TX,Swisher County,20.5
TX,Tarrant County,18.82
TX,Taylor County,20.78
TX,Terrell County,19.1
TX,Terry County,23.24
TX,Throckmorton County,22.01
TX,Titus County,22.23
TX,Tom Green County,20.65
TX,Travis County,14.94
TX,Trinity County,27.58
TX,Tyler County,27.23
TX,Upshur County,24.52
TX,Upton County,19.25
TX,Uvalde County,18.02
TX,Val Verde County,17.81
TX,Van Zandt County,25.92
TX,Victoria County,21.1
TX,Walker County,23.1
TX,Waller County,19.54
TX,Ward County,23.15
TX,Washington County,19.9
TX,Webb County,15.64
TX,Wharton County,21.62
TX,Wheeler County,19.78
TX,Wichita County,22.84
TX,Wilbarger County,23.12
TX,Willacy County,17.69
TX,Williamson County,14.82
TX,Wilson County,18.94
TX,Winkler County,24.77
TX,Wise County,22.12
TX,Wood County,24.16
TX,Yoakum County,19.04
TX,Young County,24.82
TX,Zapata County,17.45
TX,Zavala County,17.46
UT,Beaver County,21.03
UT,Box Elder County,14.2
UT,Cache County,10.89
UT,Carbon County,17.56
UT,Daggett County,19.18
UT,Davis County,9.99
UT,Duchesne County,15.78
UT,Emery County,19.65
UT,Garfield County,19.17
UT,Grand County,20.54
UT,Iron County,15.93
UT,Juab County,16.79
UT,Kane County,15.81
UT,Millard County,19.22
UT,Morgan County,11.8
UT,Piute County,20.23
UT,Rich County,16.98
UT,Salt Lake County,13.0
UT,San Juan County,23.91
UT,Sanpete County,15.54
UT,Sevier County,19.83
UT,Summit County,10.67
UT,Tooele County,15.57
UT,Uintah County,20.98
UT,Utah County,7.81
UT,Wasatch County,9.4
UT,Washington County,15.47
UT,Wayne County,17.48
UT,Weber County,15.7
VT,Addison County,16.7
VT,Bennington County,19.76
VT,Caledonia County,19.47
VT,Chittenden County,13.78
VT,Essex County,20.99
VT,Franklin County,20.57
VT,Grand Isle County,16.41
VT,Lamoille County,16.67
VT,Orange County,18.55
VT,Orleans County,22.75
VT,Rutland County,20.14
VT,Washington County,16.97
VT,Windham County,17.93
VT,Windsor County,17.6
VA,Accomack County,22.99
VA,Albemarle County,14.31
VA,Alleghany County,24.78
VA,Amelia County,24.59
VA,Amherst County,25.49
VA,Appomattox County,24.46
VA,Arlington County,10.96
VA,Augusta County/Waynesboro City,24.46
VA,Bath County,25.26
VA,Bedford County/Bedford City,23.48
VA,Bland County,26.76
VA,Botetourt County,22.11
VA,Brunswick County,28.18
VA,Buchanan County,30.06
VA,Buckingham County,25.88
VA,Campbell County,25.13
VA,Caroline County,23.89
VA,Carroll County,26.3
VA,Charles City County,26.25
VA,Charlotte County,25.75
VA,Chesterfield County,18.88
VA,Clarke County,18.76
VA,Craig County,24.68
VA,Culpeper County,21.68
VA,Cumberland County,24.03
VA,Dickenson County,30.34
VA,Dinwiddie County,25.79
VA,Essex County,24.66
VA,Fairfax County/Fairfax City,12.85
VA,Fauquier County,19.15
VA,Floyd County,23.33
VA,Fluvanna County,20.95
VA,Franklin County,23.79
VA,Frederick County,22.05
VA,Giles County,26.16
VA,Gloucester County,22.29
VA,Goochland County,18.68
VA,Grayson County,26.7
VA,Greene County,23.02
VA,Greensville County,27.89
VA,Halifax County,26.37
VA,Hanover County,19.62
VA,Henrico County,18.74
VA,Henry County,27.24
VA,Highland County,22.87
VA,Isle of Wight County,20.41
VA,James City County,16.5
VA,King and Queen County,24.88
VA,King George County,18.33
VA,King William County,23.92
VA,Lancaster County,21.86
VA,Lee County,27.88
VA,Loudoun County,11.74
VA,Louisa County,24.17
VA,Lunenburg County,28.4
VA,Madison County,24.05
VA,Mathews County,21.21
VA,Mecklenburg County,28.09
VA,Middlesex County,20.54
VA,Montgomery County,17.48
VA,Nelson County,22.69
VA,New Kent County,23.09
VA,Northampton County,23.53
VA,Northumberland County,23.01
VA,Nottoway County,28.75
VA,Orange County,22.82
VA,Page County,27.75
VA,Patrick County,27.83
VA,Pittsylvania County,25.76
VA,Powhatan County,21.76
VA,Prince Edward County,23.53
VA,Prince George County,23.25
VA,Prince William County/Manassas Park City,18.34
VA,Pulaski County,26.42
VA,Rappahannock County,20.11
VA,Richmond County,27.69
VA,Roanoke County,20.76
VA,Rockbridge County,23.51
VA,Rockingham County,21.72
VA,Russell County,28.04
VA,Scott County,28.0
VA,Shenandoah County,24.46
VA,Smyth County,26.43
VA,Southampton County/Franklin City,25.57
VA,Spotsylvania County,18.74
VA,Stafford County,16.92
VA,Surry County,23.12
VA,Sussex County,27.38
VA,Tazewell County,26.42
VA,Warren County,24.33
VA,Washington County,23.22
VA,Westmoreland County,25.32
VA,Wise County,29.46
VA,Wythe County,26.03
VA,York County,16.27
VA,Alexandria City,13.63
VA,Bristol City,29.07
VA,Buena Vista City,31.65
VA,Charlottesville City,19.76
VA,Chesapeake City,20.35
VA,Colonial Heights City,27.08
VA,Covington City,30.17
VA,Danville City,27.12
VA,Emporia City,27.12
VA,Falls Church City,10.02
VA,Fredericksburg City,18.65
VA,Galax City,26.4
VA,Hampton City,22.63
VA,Harrisonburg City,18.25
VA,Hopewell City,29.96
VA,Lexington City,18.08
VA,Lynchburg City,21.96
VA,Manassas City,21.37
VA,Martinsville City,24.31
VA,Newport News City,22.87
VA,Norfolk City,22.71
VA,Norton City,29.21
VA,Petersburg City,28.57
VA,Poquoson City,19.12
VA,Portsmouth City,25.58
VA,Radford City,21.5
VA,Richmond City,22.35
VA,Roanoke City,27.68
VA,Salem City,24.72
VA,Staunton City,21.14
VA,Suffolk City,22.1
VA,Virginia Beach City,19.87
VA,Williamsburg City,15.7
VA,Winchester City,25.23
WA,Adams County,16.67
WA,Asotin County,25.17
WA,Benton County,17.86
WA,Chelan County,18.97
WA,Clallam County,23.97
WA,Clark County,18.86
WA,Columbia County,21.38
WA,Cowlitz County,24.55
WA,Douglas County,19.53
WA,Ferry County,25.04
WA,Franklin County,19.28
WA,Garfield County,17.19
WA,Grant County,19.34
WA,Grays Harbor County,26.54
WA,Island County,18.26
WA,Jefferson County,19.84
WA,King County,14.15
WA,Kitsap County,19.76
WA,Kittitas County,16.75
WA,Klickitat County,21.5
WA,Lewis County,23.92
WA,Lincoln County,19.71
WA,Mason County,24.36
WA,Okanogan County,21.9
WA,Pacific County,25.03
WA,Pend Oreille County,23.22
WA,Pierce County,20.63
WA,San Juan County,16.33
WA,Skagit County,20.51
WA,Skamania County,19.52
WA,Snohomish County,19.32
WA,Spokane County,20.38
WA,Stevens County,21.46
WA,Thurston County,18.97
WA,Wahkiakum County,23.68
WA,Walla Walla County,18.43
WA,Whatcom County,17.94
WA,Whitman County,12.26
WA,Yakima County,19.77
WV,Barbour County,27.77
WV,Berkeley County,26.13
WV,Boone County,32.3
WV,Braxton County,29.94
WV,Brooke County,29.76
WV,Cabell County,26.92
WV,Calhoun County,31.8
WV,Clay County,32.41
WV,Doddridge County,30.7
WV,Fayette County,31.36
WV,Gilmer County,28.77
WV,Grant County,30.59
WV,Greenbrier County,27.33
WV,Hampshire County,32.68
WV,Hancock County,31.36
WV,Hardy County,31.83
WV,Harrison County,25.76
WV,Jackson County,29.03
WV,Jefferson County,22.47
WV,Kanawha County,26.47
WV,Lewis County,27.56
WV,Lincoln County,31.36
WV,Logan County,32.03
WV,McDowell County,33.87
WV,Marion County,25.64
WV,Marshall County,28.49
WV,Mason County,32.36
WV,Mercer County,28.86
WV,Mineral County,29.54
WV,Mingo County,31.95
WV,Monongalia County,21.0
WV,Monroe County,27.96
WV,Morgan County,27.83
WV,Nicholas County,28.75
WV,Ohio County,26.28
WV,Pendleton County,27.89
WV,Pleasants County,30.24
WV,Pocahontas County,26.8
WV,Preston County,28.82
WV,Putnam County,24.17
WV,Raleigh County,30.32
WV,Randolph County,27.72
WV,Ritchie County,30.54
WV,Roane County,33.58
WV,Summers County,28.44
WV,Taylor County,26.54
WV,Tucker County,26.24
WV,Tyler County,29.52
WV,Upshur County,26.37
WV,Wayne County,31.17
WV,Webster County,30.78
WV,Wetzel County,28.3
WV,Wirt County,30.25
WV,Wood County,29.2
WV,Wyoming County,31.72
WI,Adams County,25.97
WI,Ashland County,23.61
WI,Barron County,23.51
WI,Bayfield County,20.99
WI,Brown County,19.1
WI,Buffalo County,21.99
WI,Burnett County,22.96
WI,Calumet County,17.72
WI,Chippewa County,22.81
WI,Clark County,23.97
WI,Columbia County,23.18
WI,Crawford County,23.38
WI,Dane County,15.73
WI,Dodge County,23.58
WI,Door County,19.07
WI,Douglas County,23.35
WI,Dunn County,20.15
WI,Eau Claire County,19.23
WI,Florence County,23.87
WI,Fond du Lac County,20.84
WI,Forest County,27.72
WI,Grant County,20.95
WI,Green County,21.27
WI,Green Lake County,24.01
WI,Iowa County,20.23
WI,Iron County,23.55
WI,Jackson County,25.17
WI,Jefferson County,21.27
WI,Juneau County,25.77
WI,Kenosha County,22.03
WI,Kewaunee County,21.92
WI,La Crosse County,20.48
WI,Lafayette County,21.03
WI,Langlade County,25.05
WI,Lincoln County,23.53
WI,Manitowoc County,20.92
WI,Marathon County,20.98
WI,Marinette County,25.5
WI,Marquette County,26.32
WI,Menominee County,33.68
WI,Milwaukee County,23.56
WI,Monroe County,24.91
WI,Oconto County,23.5
WI,Oneida County,22.38
WI,Outagamie County,19.32
WI,Ozaukee County,16.17
WI,Pepin County,21.35
WI,Pierce County,19.32
WI,Polk County,22.31
WI,Portage County,19.37
WI,Price County,23.81
WI,Racine County,22.38
WI,Richland County,23.36
WI,Rock County,22.95
WI,Rusk County,24.81
WI,St. Croix County,17.96
WI,Sauk County,23.01
WI,Sawyer County,24.48
WI,Shawano County,24.08
WI,Sheboygan County,20.25
WI,Taylor County,24.13
WI,Trempealeau County,22.58
WI,Vernon County,22.9
WI,Vilas County,24.53
WI,Walworth County,20.88
WI,Washburn County,22.13
WI,Washington County,19.3
WI,Waukesha County,17.25
WI,Waupaca County,23.22
WI,Waushara County,25.19
WI,Winnebago County,21.17
WI,Wood County,22.58
WY,Albany County,15.17
WY,Big Horn County,21.9
WY,Campbell County,24.35
WY,Carbon County,22.91
WY,Converse County,23.72
WY,Crook County,22.88
WY,Fremont County,23.68
WY,Goshen County,22.33
WY,Hot Springs County,23.1
WY,Johnson County,20.82
WY,Laramie County,22.08
WY,Lincoln County,18.11
WY,Natrona County,25.11
WY,Niobrara County,23.58
WY,Park County,19.18
WY,Platte County,23.07
WY,Sheridan County,22.5
WY,Sublette County,16.55
WY,Sweetwater County,22.91
WY,Teton County,13.25
WY,Uinta County,21.38
WY,Washakie County,22.05
WY,Weston County,24.97
