state,date,fb_movement_change
AK,2020-07-23,-0.11707472731000869
AK,2020-07-24,-0.5879610381452967
AK,2020-07-25,0.4405855198654902
AK,2020-07-26,1.9673235986439617
AK,2020-07-27,0.005874311997211043
AK,2020-07-28,-0.005738562549125718
AK,2020-07-29,-0.0161130973487629
AK,2020-07-30,-0.31983447889056704
AK,2020-07-31,0.7223031544881039
AK,2020-08-01,1.0086869185080882
AK,2020-08-02,1.086198416365364
AK,2020-08-03,-0.06627774071314889
AK,2020-08-04,0.30777267707386446
AK,2020-08-05,0.38710435131126614
AK,2020-08-06,-0.9188243868388124
AK,2020-08-07,-0.47761081956680745
AK,2020-08-08,1.2481384094621641
AK,2020-08-09,1.8198607698774527
AK,2020-08-10,-0.7111734899698586
AK,2020-08-11,-1.0092479686280391
