state,date,confirmed_cases,confirmed_cases_norm,confirmed_deaths,confirmed_deaths_norm
AK,2020-09-01,480.0,2475.0,5.0,2.0
AK,2020-09-02,480.0,2682.0,3.0,1.0
AK,2020-09-03,493.0,2576.0,2.0,1.0
AK,2020-09-04,494.0,2613.0,3.0,1.0
AK,2020-09-05,501.0,2502.0,3.0,1.0
AK,2020-09-06,496.0,1500.0,5.0,2.0
AK,2020-09-07,544.0,1841.0,5.0,2.0
AK,2020-09-08,541.0,1879.0,5.0,2.0
AK,2020-09-09,539.0,1659.0,3.0,2.0
AK,2020-09-10,537.0,1465.0,3.0,2.0
AK,2020-09-11,561.0,1623.0,2.0,1.0
AK,2020-09-12,531.0,1547.0,3.0,2.0
AK,2020-09-13,545.0,1611.0,2.0,1.0
AK,2020-09-14,510.0,1278.0,2.0,1.0
AK,2020-09-15,552.0,1318.0,2.0,1.0
AK,2020-09-16,562.0,1379.0,2.0,1.0
AK,2020-09-17,548.0,1422.0,2.0,1.0
AK,2020-09-18,546.0,1609.0,2.0,1.0
AK,2020-09-19,560.0,1702.0,2.0,1.0
AK,2020-09-20,552.0,1648.0,1.0,0.0
AK,2020-09-21,598.0,1974.0,1.0,0.0
AK,2020-09-22,592.0,2177.0,1.0,0.0
AK,2020-09-23,608.0,2130.0,1.0,0.0
AK,2020-09-24,634.0,2310.0,1.0,0.0
AK,2020-09-25,664.0,2204.0,2.0,1.0
AK,2020-09-26,681.0,2173.0,7.0,24.0
AK,2020-09-27,704.0,2490.0,7.0,24.0
AK,2020-09-28,708.0,2282.0,11.0,25.0
AK,2020-09-29,754.0,2166.0,11.0,25.0
AK,2020-09-30,816.0,2352.0,11.0,25.0
AK,2020-10-01,845.0,2256.0,11.0,25.0
AK,2020-10-02,843.0,2314.0,11.0,25.0
AK,2020-10-03,859.0,2428.0,5.0,2.0
AK,2020-10-04,880.0,2230.0,6.0,5.0
AK,2020-10-05,911.0,2109.0,2.0,3.0
AK,2020-10-06,993.0,2272.0,2.0,3.0
AK,2020-10-07,1020.0,2317.0,2.0,3.0
AK,2020-10-08,1036.0,2374.0,3.0,4.0
AK,2020-10-09,1035.0,2206.0,3.0,4.0
AK,2020-10-10,1078.0,2218.0,3.0,4.0
AK,2020-10-11,1170.0,2407.0,2.0,1.0
AK,2020-10-12,1277.0,2845.0,2.0,1.0
AK,2020-10-13,1271.0,2858.0,2.0,1.0
AK,2020-10-14,1281.0,2902.0,2.0,1.0
AK,2020-10-15,1327.0,2963.0,5.0,4.0
AK,2020-10-16,1355.0,2990.0,5.0,15.0
AK,2020-10-17,1392.0,3789.0,6.0,14.0
