FIPS,life_expectancy,mortality_risk_0-5,mortality_risk_5-25,mortality_risk_25-45,mortality_risk_45-65,mortality_risk_65-85
2158,"70.83 (69.61, 72.18)","1.93 (1.68, 2.19)","3.16 (2.75, 3.58)","6.98 (6.24, 7.81)","18.92 (17.12, 20.96)","64.12 (59.98, 68.10)"
2164,"75.15 (73.95, 76.24)","1.17 (1.00, 1.37)","1.85 (1.58, 2.14)","4.84 (4.29, 5.46)","14.86 (13.50, 16.44)","54.79 (51.07, 58.94)"
2170,"78.11 (77.63, 78.61)","0.68 (0.62, 0.75)","1.19 (1.08, 1.30)","3.04 (2.85, 3.25)","11.73 (11.17, 12.38)","51.58 (49.72, 53.42)"
2180,"72.63 (71.50, 73.63)","1.63 (1.42, 1.85)","2.45 (2.17, 2.78)","5.98 (5.39, 6.64)","17.66 (16.29, 19.20)","58.93 (55.51, 62.32)"
2185,"77.09 (75.95, 78.21)","1.13 (0.95, 1.33)","1.50 (1.29, 1.73)","4.02 (3.56, 4.54)","11.57 (10.44, 12.78)","51.12 (47.27, 55.29)"
2188,"74.51 (73.28, 75.77)","1.47 (1.27, 1.69)","2.32 (2.00, 2.64)","5.35 (4.72, 5.99)","15.15 (13.56, 16.71)","53.70 (49.65, 57.60)"
2195,"78.19 (77.56, 78.89)","0.65 (0.57, 0.75)","1.11 (0.97, 1.26)","3.02 (2.75, 3.28)","11.30 (10.62, 11.99)","51.93 (49.54, 54.32)"
2198,"78.19 (77.56, 78.89)","0.65 (0.57, 0.75)","1.11 (0.97, 1.26)","3.02 (2.75, 3.28)","11.30 (10.62, 11.99)","51.93 (49.54, 54.32)"
2220,"79.94 (79.02, 80.83)","0.56 (0.46, 0.66)","0.84 (0.71, 0.98)","2.55 (2.24, 2.88)","10.05 (9.11, 11.06)","46.65 (43.52, 49.84)"
2230,"79.90 (78.82, 81.05)","0.66 (0.54, 0.80)","0.99 (0.82, 1.17)","2.74 (2.41, 3.13)","10.65 (9.47, 11.86)","44.38 (40.38, 48.71)"
2240,"77.77 (76.70, 78.78)","0.78 (0.66, 0.93)","1.12 (0.95, 1.31)","3.20 (2.82, 3.63)","12.66 (11.47, 13.94)","50.88 (47.22, 54.88)"
2261,"78.00 (77.13, 78.95)","0.78 (0.67, 0.90)","1.19 (1.04, 1.37)","3.31 (2.95, 3.67)","11.86 (10.88, 12.88)","50.42 (46.99, 53.53)"
2275,"78.19 (77.56, 78.89)","0.65 (0.57, 0.75)","1.11 (0.97, 1.26)","3.02 (2.75, 3.28)","11.30 (10.62, 11.99)","51.93 (49.54, 54.32)"
2282,"79.90 (78.82, 81.05)","0.66 (0.54, 0.80)","0.99 (0.82, 1.17)","2.74 (2.41, 3.13)","10.65 (9.47, 11.86)","44.38 (40.38, 48.71)"
2290,"74.50 (73.41, 75.59)","1.28 (1.10, 1.46)","2.47 (2.15, 2.87)","5.38 (4.81, 5.95)","15.67 (14.37, 17.07)","52.94 (49.80, 56.12)"
4,"79.58 (79.50, 79.67)","0.63 (0.62, 0.64)","0.88 (0.86, 0.89)","2.83 (2.80, 2.86)","11.33 (11.24, 11.43)","44.93 (44.65, 45.21)"
4001,"74.28 (73.70, 74.86)","1.07 (0.99, 1.16)","2.35 (2.19, 2.52)","7.29 (6.90, 7.71)","15.12 (14.45, 15.82)","51.59 (50.05, 53.13)"
4003,"78.83 (78.44, 79.22)","0.67 (0.62, 0.73)","0.89 (0.82, 0.96)","2.85 (2.70, 3.00)","11.98 (11.50, 12.45)","48.29 (47.05, 49.55)"
4005,"79.40 (78.98, 79.80)","0.72 (0.67, 0.78)","0.92 (0.86, 0.98)","3.43 (3.25, 3.62)","10.50 (10.08, 10.95)","45.33 (43.95, 46.73)"
4007,"76.26 (75.71, 76.79)","0.94 (0.85, 1.04)","1.49 (1.35, 1.65)","4.75 (4.46, 5.08)","14.48 (13.84, 15.13)","50.82 (49.32, 52.36)"
4009,"77.52 (76.91, 78.10)","0.82 (0.74, 0.91)","1.04 (0.95, 1.15)","3.34 (3.08, 3.62)","13.21 (12.41, 14.00)","51.50 (49.69, 53.40)"
4011,"78.25 (77.35, 79.11)","0.72 (0.62, 0.85)","1.03 (0.88, 1.18)","2.99 (2.67, 3.34)","12.19 (11.16, 13.31)","50.71 (48.00, 53.85)"
4012,"80.68 (80.33, 81.03)","0.61 (0.57, 0.64)","0.78 (0.73, 0.83)","2.76 (2.64, 2.90)","11.54 (11.13, 11.98)","38.60 (37.60, 39.56)"
4013,"80.06 (79.94, 80.18)","0.61 (0.60, 0.62)","0.81 (0.80, 0.83)","2.55 (2.51, 2.59)","10.74 (10.62, 10.88)","44.32 (43.93, 44.69)"
4015,"75.71 (75.35, 76.08)","0.85 (0.79, 0.91)","1.32 (1.24, 1.41)","4.51 (4.33, 4.72)","16.27 (15.81, 16.77)","53.40 (52.26, 54.47)"
4017,"75.71 (75.23, 76.19)","0.96 (0.89, 1.03)","1.94 (1.82, 2.05)","5.74 (5.45, 6.03)","14.24 (13.67, 14.83)","50.38 (48.99, 51.80)"
4019,"79.46 (79.25, 79.66)","0.59 (0.57, 0.62)","0.79 (0.77, 0.82)","3.01 (2.94, 3.09)","11.58 (11.36, 11.82)","45.20 (44.57, 45.88)"
4021,"80.17 (79.86, 80.47)","0.60 (0.56, 0.64)","1.01 (0.96, 1.07)","2.98 (2.87, 3.11)","11.50 (11.16, 11.86)","40.10 (39.26, 41.06)"
4023,"81.97 (81.45, 82.50)","0.49 (0.43, 0.55)","0.66 (0.59, 0.75)","2.00 (1.83, 2.17)","8.32 (7.82, 8.88)","39.98 (38.24, 41.72)"
4025,"79.02 (78.68, 79.35)","0.66 (0.62, 0.72)","1.01 (0.94, 1.08)","3.36 (3.20, 3.52)","11.67 (11.31, 12.03)","45.73 (44.78, 46.73)"
4027,"80.68 (80.33, 81.03)","0.61 (0.57, 0.64)","0.78 (0.73, 0.83)","2.76 (2.64, 2.90)","11.54 (11.13, 11.98)","38.60 (37.60, 39.56)"
5,"76.18 (76.09, 76.26)","0.84 (0.83, 0.86)","1.08 (1.06, 1.09)","3.59 (3.55, 3.62)","15.31 (15.19, 15.44)","56.05 (55.77, 56.31)"
5001,"74.57 (73.90, 75.21)","0.95 (0.84, 1.07)","1.35 (1.22, 1.51)","4.30 (3.98, 4.66)","17.02 (16.04, 18.00)","60.05 (58.07, 62.00)"
5003,"74.72 (74.04, 75.32)","1.03 (0.92, 1.15)","1.35 (1.21, 1.51)","4.30 (3.98, 4.63)","16.75 (15.87, 17.71)","59.19 (57.22, 61.12)"
5005,"76.94 (76.45, 77.45)","0.82 (0.73, 0.93)","1.23 (1.11, 1.36)","3.52 (3.26, 3.79)","14.23 (13.58, 14.88)","52.67 (51.21, 54.11)"
5007,"79.39 (78.99, 79.73)","0.65 (0.60, 0.70)","0.84 (0.78, 0.89)","2.45 (2.33, 2.57)","11.44 (11.03, 11.92)","47.40 (46.22, 48.71)"
5009,"77.22 (76.71, 77.80)","0.79 (0.70, 0.89)","1.00 (0.90, 1.10)","3.23 (2.99, 3.47)","13.35 (12.66, 14.01)","53.84 (51.99, 55.56)"
5011,"74.49 (73.72, 75.33)","1.02 (0.88, 1.17)","1.30 (1.15, 1.46)","4.42 (4.00, 4.85)","16.99 (15.88, 18.21)","60.46 (57.76, 62.96)"
5013,"75.71 (74.68, 76.65)","1.02 (0.87, 1.19)","1.32 (1.13, 1.54)","4.13 (3.65, 4.62)","15.88 (14.65, 17.32)","54.19 (51.32, 57.27)"
5015,"77.97 (77.39, 78.55)","0.78 (0.69, 0.88)","1.00 (0.90, 1.11)","3.30 (3.06, 3.60)","12.57 (11.81, 13.32)","50.69 (48.78, 52.60)"
5017,"73.35 (72.55, 74.09)","1.24 (1.11, 1.40)","1.72 (1.53, 1.93)","4.95 (4.52, 5.40)","19.16 (17.99, 20.48)","60.27 (58.22, 62.42)"
5019,"75.90 (75.22, 76.52)","0.85 (0.75, 0.96)","0.92 (0.83, 1.02)","3.66 (3.36, 3.97)","15.79 (14.89, 16.78)","57.68 (55.62, 59.72)"
5021,"74.77 (74.07, 75.49)","0.94 (0.82, 1.07)","1.34 (1.18, 1.51)","4.07 (3.71, 4.43)","17.11 (16.05, 18.12)","59.62 (57.56, 61.72)"
5023,"77.43 (76.82, 77.97)","0.72 (0.62, 0.82)","1.08 (0.96, 1.22)","3.36 (3.08, 3.65)","13.71 (13.01, 14.61)","52.28 (50.42, 54.20)"
5025,"76.09 (75.31, 76.91)","0.87 (0.75, 1.03)","1.22 (1.06, 1.40)","3.49 (3.14, 3.89)","14.90 (13.77, 16.08)","56.67 (54.17, 59.30)"
5027,"74.65 (74.03, 75.32)","1.12 (0.99, 1.24)","1.30 (1.17, 1.43)","4.53 (4.20, 4.88)","17.35 (16.40, 18.28)","57.47 (55.63, 59.23)"
5029,"76.13 (75.46, 76.81)","0.80 (0.70, 0.92)","1.19 (1.06, 1.33)","3.80 (3.46, 4.13)","15.13 (14.22, 16.06)","55.69 (53.68, 57.70)"
5031,"76.04 (75.62, 76.51)","0.79 (0.73, 0.87)","0.89 (0.82, 0.95)","3.45 (3.25, 3.65)","15.29 (14.69, 15.93)","58.42 (56.92, 59.82)"
5033,"75.97 (75.47, 76.47)","0.75 (0.68, 0.83)","1.08 (0.99, 1.18)","3.55 (3.33, 3.79)","15.56 (14.81, 16.29)","58.09 (56.44, 59.79)"
5035,"72.31 (71.78, 72.85)","1.33 (1.23, 1.44)","1.64 (1.51, 1.77)","5.19 (4.91, 5.49)","20.93 (20.07, 21.80)","62.94 (61.28, 64.57)"
5037,"73.87 (73.14, 74.54)","1.17 (1.03, 1.32)","1.46 (1.31, 1.64)","4.54 (4.20, 4.92)","18.05 (17.06, 19.14)","60.84 (58.56, 62.94)"
5039,"74.44 (73.56, 75.31)","1.03 (0.90, 1.18)","1.42 (1.25, 1.61)","4.40 (3.97, 4.83)","18.02 (16.78, 19.29)","58.08 (55.47, 60.54)"
5041,"73.83 (73.06, 74.62)","1.11 (0.98, 1.25)","1.55 (1.38, 1.75)","4.73 (4.31, 5.19)","18.36 (17.22, 19.55)","59.20 (56.94, 61.48)"
5043,"75.69 (74.96, 76.42)","0.99 (0.87, 1.12)","1.18 (1.06, 1.33)","3.95 (3.63, 4.32)","15.86 (14.83, 16.91)","55.89 (53.55, 58.06)"
5045,"77.23 (76.79, 77.66)","0.72 (0.65, 0.78)","0.84 (0.78, 0.90)","3.07 (2.90, 3.27)","13.63 (13.05, 14.21)","55.56 (54.00, 57.04)"
5047,"75.51 (74.81, 76.31)","0.80 (0.69, 0.92)","1.22 (1.07, 1.37)","3.81 (3.48, 4.17)","16.49 (15.39, 17.58)","57.54 (55.17, 59.74)"
5049,"76.31 (75.54, 76.98)","0.93 (0.80, 1.06)","1.29 (1.13, 1.48)","3.70 (3.36, 4.09)","14.81 (13.88, 15.88)","54.59 (52.46, 56.77)"
5051,"75.66 (75.24, 76.10)","0.81 (0.74, 0.88)","1.24 (1.15, 1.34)","4.34 (4.10, 4.57)","16.44 (15.84, 17.04)","54.54 (53.30, 55.79)"
5053,"75.93 (75.25, 76.61)","0.84 (0.73, 0.96)","1.20 (1.06, 1.34)","3.54 (3.24, 3.88)","14.59 (13.71, 15.57)","58.70 (56.35, 60.98)"
5055,"75.06 (74.49, 75.61)","0.96 (0.87, 1.08)","1.23 (1.11, 1.36)","4.08 (3.82, 4.37)","16.14 (15.32, 16.98)","59.35 (57.66, 61.14)"
5057,"75.08 (74.44, 75.79)","0.96 (0.85, 1.07)","1.34 (1.21, 1.49)","3.96 (3.64, 4.28)","17.05 (16.09, 18.02)","57.52 (55.41, 59.52)"
