date,region,mean,median,lower_90,upper_90,lower_50,upper_50,new_cases
2020-05-24,ID,1.023157456613207,1.0314670301350914,0.7413059797245605,1.3263510111792425,0.9058843776747127,1.098792773149286,31.0
2020-05-25,ID,1.0214410430381202,1.023052828367114,0.7367837215289045,1.328320057871117,0.9405159201324989,1.1390761402777396,0.0
2020-05-26,ID,1.0197176745918368,1.0237513262898936,0.7333824391885025,1.3158599376496365,0.9432413573973054,1.1327513686633528,0.0
2020-05-27,ID,1.0178862210607391,1.027972246751101,0.7288864396454605,1.322500542733662,0.9214209904766324,1.136023228082217,73.0
2020-05-28,ID,1.013744081089588,1.0273070676437324,0.6846275768216146,1.2863709590642822,0.9357022234044949,1.1468544397739633,32.0
2020-05-29,ID,1.0078071415928849,1.0173855225198278,0.6658689432890809,1.2893851781589627,0.8885391982259645,1.1101180782652464,38.0
2020-05-30,ID,1.006869844711718,1.0163333320306656,0.6370227098470191,1.321711725481195,0.8940982124515233,1.12310999473361,34.0
2020-05-31,ID,1.0049776095107876,1.0186642873389429,0.6270871967875236,1.365191655088599,0.8600006121143923,1.1122907414064676,36.0
2020-06-01,ID,1.0090685087202107,1.0250966887502275,0.5952905544431719,1.348427398612981,0.8807188114363924,1.1360056401328045,0.0
2020-06-02,ID,1.008917523041065,1.0230324295681283,0.6238545062755092,1.3838360699512915,0.9355858726889992,1.2076643406013272,67.0
2020-06-03,ID,1.0124783075309367,1.0212805925144566,0.572815256473385,1.365785599527145,0.9096865747701322,1.1796146887292065,27.0
2020-06-04,ID,1.0162011176532488,1.0235069324517172,0.5714221958723058,1.3783785781097462,0.873638810343413,1.1323934655474952,57.0
2020-04-17,IL,0.8977072582505256,0.8990424809773704,0.8523118549197426,0.9470467212509216,0.8751220834923038,0.9120541116998736,1842.0
2020-04-18,IL,0.897808432189942,0.8975889800045301,0.8512390162753488,0.9431331581345379,0.8797552529053219,0.9142408014471232,1585.0
2020-04-19,IL,0.8974743837706676,0.8968300763545429,0.8549965081580249,0.9420863642044522,0.8804979571135969,0.9150375769718568,1197.0
2020-04-20,IL,0.8968964491124459,0.8978861089388259,0.8544170025821859,0.9410034377103976,0.8779617240617613,0.9130148105547288,1151.0
2020-04-21,IL,0.8967070513598283,0.8971719560409916,0.8531971137902182,0.9432369359445908,0.8802065605516574,0.9133680577753228,1551.0
2020-04-22,IL,0.8963214686162738,0.8958765486859135,0.8565155501125746,0.941003630938316,0.8780467820382587,0.9103768242948616,2049.0
2020-04-23,IL,0.8958604502287247,0.8952307886237866,0.8559908546995769,0.944007590646256,0.8754977700522049,0.9099121418775918,1826.0
