FIPS,other_resp_mortality,interstitial_lung_mortality,asthma_mortality,other_pneumoconiosis_mortality,coal_pneumoconiosis_mortality,asbestosis_mortality,silicosis_mortality,pneumoconiosis_mortality,COPD_mortality,chronic_respiratory_mortality
47087,"1.09 (0.83, 1.45)","5.37 (3.21, 7.52)","0.92 (0.60, 1.37)","0.24 (0.15, 0.36)","0.07 (0.01, 0.28)","0.10 (0.03, 0.25)","0.02 (0.00, 0.06)","0.42 (0.22, 0.87)","92.73 (84.98, 100.62)","100.53 (93.48, 108.32)"
47089,"0.95 (0.69, 1.28)","5.99 (3.77, 7.86)","1.03 (0.70, 1.48)","0.20 (0.13, 0.31)","0.17 (0.04, 0.43)","0.18 (0.08, 0.33)","0.03 (0.01, 0.09)","0.59 (0.31, 1.08)","60.46 (56.19, 64.89)","69.01 (65.19, 73.13)"
47091,"1.01 (0.81, 1.29)","4.53 (2.85, 5.88)","1.15 (0.80, 1.58)","0.23 (0.16, 0.35)","0.42 (0.14, 0.94)","0.12 (0.05, 0.25)","0.02 (0.01, 0.05)","0.79 (0.41, 1.44)","69.33 (64.33, 74.57)","76.82 (71.83, 81.99)"
47093,"1.02 (0.85, 1.24)","5.91 (3.82, 7.05)","0.85 (0.69, 1.06)","0.18 (0.13, 0.24)","0.05 (0.02, 0.11)","0.25 (0.16, 0.36)","0.03 (0.02, 0.07)","0.51 (0.37, 0.71)","62.50 (59.70, 65.73)","70.79 (67.98, 73.72)"
47095,"1.15 (0.84, 1.51)","6.06 (3.55, 8.31)","2.31 (1.58, 3.37)","0.29 (0.18, 0.46)","0.03 (0.00, 0.16)","0.08 (0.02, 0.21)","0.02 (0.00, 0.07)","0.41 (0.24, 0.79)","99.35 (90.11, 109.66)","109.29 (100.91, 119.55)"
47097,"1.04 (0.76, 1.42)","5.61 (3.57, 7.51)","1.96 (1.40, 2.67)","0.25 (0.16, 0.38)","0.02 (0.00, 0.07)","0.09 (0.02, 0.22)","0.01 (0.00, 0.03)","0.36 (0.20, 0.63)","66.38 (61.01, 71.76)","75.37 (70.32, 80.21)"
47099,"0.89 (0.68, 1.16)","6.04 (3.82, 7.78)","0.94 (0.67, 1.31)","0.25 (0.16, 0.37)","0.03 (0.00, 0.14)","0.44 (0.18, 0.89)","0.02 (0.00, 0.05)","0.74 (0.41, 1.34)","62.00 (57.47, 66.60)","70.60 (66.52, 74.70)"
47101,"0.89 (0.68, 1.14)","6.84 (4.26, 9.34)","0.88 (0.58, 1.26)","0.26 (0.15, 0.39)","0.06 (0.00, 0.26)","0.36 (0.11, 0.86)","0.04 (0.01, 0.12)","0.71 (0.33, 1.52)","60.16 (54.02, 66.18)","69.48 (64.00, 75.03)"
47103,"0.84 (0.63, 1.10)","5.51 (3.54, 6.97)","1.02 (0.74, 1.38)","0.25 (0.17, 0.37)","0.02 (0.00, 0.09)","0.11 (0.04, 0.24)","0.01 (0.00, 0.02)","0.40 (0.24, 0.65)","44.73 (40.71, 48.77)","52.50 (49.00, 56.12)"
47105,"0.78 (0.57, 1.05)","5.60 (3.47, 7.22)","0.80 (0.55, 1.15)","0.17 (0.11, 0.26)","0.03 (0.00, 0.12)","0.22 (0.10, 0.46)","0.02 (0.00, 0.05)","0.43 (0.24, 0.80)","45.42 (42.15, 49.15)","53.03 (50.01, 56.18)"
47111,"1.00 (0.77, 1.30)","5.24 (3.23, 7.05)","0.97 (0.67, 1.40)","0.24 (0.16, 0.35)","0.04 (0.01, 0.17)","0.07 (0.02, 0.16)","0.01 (0.00, 0.04)","0.36 (0.22, 0.66)","90.87 (84.95, 97.12)","98.44 (92.82, 104.78)"
47113,"0.85 (0.61, 1.15)","5.09 (3.18, 6.37)","1.43 (1.11, 1.86)","0.19 (0.13, 0.28)","0.01 (0.00, 0.03)","0.05 (0.02, 0.11)","0.00 (0.00, 0.01)","0.26 (0.16, 0.39)","44.86 (41.58, 48.25)","52.49 (49.57, 55.55)"
47115,"1.13 (0.85, 1.48)","4.84 (3.02, 6.46)","1.09 (0.75, 1.50)","0.28 (0.18, 0.41)","0.80 (0.32, 1.64)","0.18 (0.07, 0.39)","0.02 (0.00, 0.05)","1.29 (0.69, 2.30)","75.44 (70.14, 80.80)","83.79 (78.96, 89.10)"
47117,"0.83 (0.61, 1.12)","7.24 (4.42, 9.50)","1.00 (0.69, 1.41)","0.24 (0.16, 0.36)","0.03 (0.00, 0.11)","0.19 (0.06, 0.43)","0.01 (0.00, 0.04)","0.47 (0.26, 0.83)","63.30 (58.42, 68.39)","72.85 (68.29, 77.25)"
47119,"0.77 (0.56, 1.03)","7.91 (5.02, 9.77)","1.10 (0.81, 1.47)","0.21 (0.14, 0.31)","0.07 (0.01, 0.27)","0.61 (0.31, 1.01)","0.04 (0.01, 0.11)","0.93 (0.54, 1.58)","60.21 (56.11, 64.43)","70.91 (67.31, 74.75)"
47107,"0.94 (0.72, 1.24)","4.67 (2.89, 6.02)","1.19 (0.84, 1.63)","0.21 (0.14, 0.30)","0.06 (0.01, 0.17)","0.26 (0.11, 0.49)","0.02 (0.00, 0.05)","0.54 (0.30, 0.94)","62.49 (58.26, 66.81)","69.84 (65.79, 74.27)"
47109,"0.92 (0.65, 1.28)","4.17 (2.50, 5.72)","1.03 (0.70, 1.44)","0.27 (0.16, 0.41)","0.02 (0.00, 0.12)","0.14 (0.04, 0.38)","0.01 (0.00, 0.04)","0.44 (0.24, 0.83)","70.01 (64.70, 75.63)","76.56 (71.47, 81.87)"
47121,"1.13 (0.84, 1.48)","5.01 (3.09, 6.97)","1.13 (0.74, 1.62)","0.25 (0.15, 0.39)","0.37 (0.06, 1.14)","0.52 (0.20, 1.01)","0.07 (0.01, 0.20)","1.20 (0.48, 2.62)","80.57 (73.20, 88.12)","89.03 (81.91, 96.08)"
47123,"0.96 (0.72, 1.27)","5.19 (3.26, 6.84)","1.14 (0.80, 1.55)","0.21 (0.13, 0.31)","0.03 (0.00, 0.13)","0.25 (0.10, 0.50)","0.03 (0.01, 0.09)","0.53 (0.29, 0.96)","62.08 (57.71, 66.68)","69.91 (65.81, 74.14)"
47125,"0.77 (0.62, 0.99)","6.61 (4.17, 8.37)","1.72 (1.34, 2.23)","0.17 (0.12, 0.25)","0.05 (0.01, 0.16)","0.11 (0.05, 0.20)","0.01 (0.00, 0.02)","0.34 (0.21, 0.57)","71.24 (67.39, 75.46)","80.68 (77.11, 84.35)"
47127,"0.75 (0.53, 1.02)","4.43 (2.64, 6.34)","0.75 (0.46, 1.16)","0.22 (0.13, 0.36)","0.05 (0.00, 0.21)","0.14 (0.03, 0.35)","0.01 (0.00, 0.04)","0.41 (0.19, 0.86)","50.80 (44.29, 57.68)","57.14 (51.07, 63.36)"
47129,"1.05 (0.84, 1.31)","4.75 (2.81, 6.49)","1.08 (0.72, 1.54)","0.36 (0.19, 0.70)","1.87 (0.85, 3.55)","0.70 (0.29, 1.34)","0.03 (0.01, 0.08)","2.95 (1.59, 5.39)","88.75 (82.42, 95.35)","98.58 (92.63, 105.05)"
47131,"0.87 (0.63, 1.20)","5.48 (3.44, 7.26)","1.35 (0.96, 1.85)","0.23 (0.15, 0.34)","0.03 (0.00, 0.12)","0.11 (0.04, 0.24)","0.02 (0.00, 0.07)","0.39 (0.22, 0.69)","68.77 (64.17, 73.98)","76.87 (72.55, 81.44)"
47133,"0.95 (0.69, 1.27)","5.04 (3.22, 6.82)","1.15 (0.76, 1.68)","0.22 (0.14, 0.34)","0.20 (0.05, 0.50)","0.12 (0.04, 0.24)","0.01 (0.00, 0.05)","0.55 (0.27, 1.01)","78.03 (72.26, 83.95)","85.72 (80.55, 91.63)"
47135,"0.98 (0.73, 1.27)","5.93 (3.54, 8.25)","0.93 (0.61, 1.34)","0.24 (0.15, 0.37)","0.05 (0.00, 0.22)","0.18 (0.04, 0.47)","0.02 (0.00, 0.07)","0.49 (0.24, 1.07)","61.87 (55.03, 68.80)","70.19 (64.20, 76.43)"
47137,"0.89 (0.68, 1.16)","4.31 (2.52, 6.17)","0.93 (0.59, 1.41)","0.25 (0.16, 0.40)","0.17 (0.02, 0.58)","0.12 (0.04, 0.29)","0.02 (0.00, 0.05)","0.56 (0.27, 1.20)","79.22 (71.65, 86.95)","85.92 (78.81, 93.42)"
