state,date,gg_retail,gg_grocery,gg_park,gg_transit,gg_workplace,gg_residential
TN,2020-11-23,-10.714285714285714,-0.7142857142857143,23.142857142857142,-12.142857142857142,-20.142857142857142,6.0
TN,2020-11-24,-9.285714285714286,1.2857142857142858,25.714285714285715,-11.142857142857142,-20.857142857142858,6.0
TN,2020-11-25,-6.857142857142857,6.142857142857143,26.571428571428573,-10.142857142857142,-22.714285714285715,6.142857142857143
TN,2020-11-26,-15.285714285714286,2.2857142857142856,28.714285714285715,-14.285714285714286,-30.714285714285715,8.142857142857142
TN,2020-11-27,-16.0,0.8571428571428571,32.42857142857143,-17.571428571428573,-35.714285714285715,9.428571428571429
TN,2020-11-28,-16.857142857142858,-0.5714285714285714,31.714285714285715,-18.857142857142858,-37.285714285714285,9.714285714285714
TN,2020-11-29,-17.571428571428573,-1.7142857142857142,29.571428571428573,-18.0,-37.857142857142854,9.714285714285714
TN,2020-11-30,-19.0,-3.0,24.285714285714285,-18.142857142857142,-37.57142857142857,10.0
TN,2020-12-01,-20.428571428571427,-5.0,18.428571428571427,-18.857142857142858,-37.285714285714285,10.285714285714286
TN,2020-12-02,-22.714285714285715,-10.0,16.428571428571427,-20.0,-35.57142857142857,10.285714285714286
TN,2020-12-03,-14.142857142857142,-6.0,12.714285714285714,-16.142857142857142,-27.571428571428573,8.428571428571429
TN,2020-12-04,-13.857142857142858,-5.142857142857143,3.7142857142857144,-14.0,-22.571428571428573,7.428571428571429
TN,2020-12-05,-12.857142857142858,-3.857142857142857,0.7142857142857143,-14.142857142857142,-20.714285714285715,7.285714285714286
TN,2020-12-06,-12.0,-3.0,3.0,-16.0,-20.142857142857142,7.285714285714286
TN,2020-12-07,-11.714285714285714,-2.857142857142857,4.0,-16.428571428571427,-20.0,7.0
TN,2020-12-08,-11.857142857142858,-3.0,4.857142857142857,-17.142857142857142,-19.571428571428573,6.857142857142857
TN,2020-12-09,-12.0,-3.142857142857143,5.714285714285714,-17.285714285714285,-19.571428571428573,6.857142857142857
TN,2020-12-10,-12.0,-3.2857142857142856,7.428571428571429,-17.428571428571427,-19.571428571428573,6.714285714285714
