state_code,state_fips,state_name,state_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
NC,37,North Carolina,10383620,2020-06-02 15:35:34.457534 UTC,2020-03-15,1,Post,F,1,-0.14137875055587429,F,1,-0.17028026717521352,F,1,-0.022205096582383455,F,1
AL,01,Alabama,4887871,2020-06-02 15:35:34.457534 UTC,2020-04-01,4,Post,F,1.3,-0.21434188653645722,F,1,-0.457338409510222,F,1,-0.4857817339046574,D,2
NY,36,New York,19542209,2020-06-02 15:35:34.457534 UTC,2020-04-28,3,Post,D+,2.3,-0.43742609394994669,C,3,-0.61993866814342868,C,3,-0.15038838816204336,F,1
NY,36,New York,19542209,2020-06-02 15:35:34.457534 UTC,2020-03-24,3,Post,C-,2.7,-0.47585026303020717,C,3,-0.65333700660931537,B,4,-0.10989680337056329,F,1
TN,47,Tennessee,6770010,2020-06-02 15:35:34.457534 UTC,2020-02-29,7,Pre,F,1,0.045816144746474642,F,1,0.0790201642238696,F,1,3.099913120701542,F,1
SC,45,South Carolina,5084127,2020-06-02 15:35:34.457534 UTC,2020-05-26,3,Post,F,1,-0.048826314950632548,F,1,-0.0321062461932803,F,1,0.61418505964823922,F,1
SC,45,South Carolina,5084127,2020-06-02 15:35:34.457534 UTC,2020-03-30,2,Post,D-,1.7,-0.26753807452727218,D,2,-0.442545233766092,F,1,-0.511709578030576,D,2
SC,45,South Carolina,5084127,2020-06-02 15:35:34.457534 UTC,2020-02-28,6,Pre,F,1,0.054112869915487846,F,1,-0.012458688609511317,F,1,1.8763417137522787,F,1
GA,13,Georgia,10519475,2020-06-02 15:35:34.457534 UTC,2020-03-10,3,Post,F,1,-0.010413093496758664,F,1,-0.068199583553602616,F,1,1.4676984337291028,F,1
OH,39,Ohio,11689442,2020-06-02 15:35:34.457534 UTC,2020-05-20,4,Post,F,1,-0.14892277387295508,F,1,-0.19266564786084486,F,1,0.42695749519255566,F,1
OH,39,Ohio,11689442,2020-06-02 15:35:34.457534 UTC,2020-05-10,1,Post,F,1.3,-0.26874439844615183,D,2,-0.35937296867332813,F,1,0.30531658236612791,F,1
OH,39,Ohio,11689442,2020-06-02 15:35:34.457534 UTC,2020-04-12,1,Post,B-,3.7,-0.53014208071555446,C,3,-0.76579862562041634,A,5,-0.74060304345425942,C,3
CT,09,Connecticut,3572665,2020-06-02 15:35:34.457534 UTC,2020-04-22,4,Post,D+,2.3,-0.45471384094761974,C,3,-0.64986592464843029,C,3,0.036412142888201604,F,1
CT,09,Connecticut,3572665,2020-06-02 15:35:34.457534 UTC,2020-03-21,7,Post,D+,2.3,-0.44615636643499423,C,3,-0.63818855598346313,C,3,-0.29788323122334537,F,1
DE,10,Delaware,967171,2020-06-02 15:35:34.457534 UTC,2020-05-18,2,Post,F,1.3,-0.29030851369075805,D,2,-0.484581442806181,F,1,0.2167450450458559,F,1
DE,10,Delaware,967171,2020-06-02 15:35:34.457534 UTC,2020-03-29,1,Post,C-,2.7,-0.52443622776988741,C,3,-0.68439448108615586,B,4,-0.35638091829204044,F,1
DE,10,Delaware,967171,2020-06-02 15:35:34.457534 UTC,2020-03-26,5,Post,D,2,-0.34856825778980366,D,2,-0.61127572113728834,C,3,-0.1522997273802249,F,1
MA,25,Massachusetts,6902149,2020-06-02 15:35:34.457534 UTC,2020-03-16,2,Post,F,1,-0.24560760204324961,F,1,-0.32861598546906107,F,1,0.79323028517964711,F,1
MA,25,Massachusetts,6902149,2020-06-02 15:35:34.457534 UTC,2020-03-07,7,Pre,F,1,-0.033937190295480389,F,1,0.031532507931605357,F,1,4.16563455707763,F,1
MA,25,Massachusetts,6902149,2020-06-02 15:35:34.457534 UTC,2020-02-28,6,Pre,F,1,0.029089397718636473,F,1,0.019673529206590969,F,1,5.371171499121921,F,1
MD,24,Maryland,6042718,2020-06-02 15:35:34.457534 UTC,2020-05-03,1,Post,C,3,-0.57288408221650788,B,4,-0.69179744000865284,B,4,-0.20107236064843392,F,1
MD,24,Maryland,6042718,2020-06-02 15:35:34.457534 UTC,2020-04-27,2,Post,D,2,-0.41355700846379345,C,3,-0.59914414738682165,D,2,0.0067645779551064322,F,1
MD,24,Maryland,6042718,2020-06-02 15:35:34.457534 UTC,2020-02-27,5,Pre,F,1,0.021746029710820951,F,1,-0.036157556215626642,F,1,3.6554868376236405,F,1
RI,44,Rhode Island,1057315,2020-06-02 15:35:34.457534 UTC,2020-03-10,3,Post,F,1,-0.036372424737554226,F,1,-0.085495845617400645,F,1,3.2745428078137691,F,1
