state_code,state_fips,state_name,state_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
MO,29,Missouri,6126452,2020-05-28 15:46:20.812598 UTC,2020-05-20,4,Post,F,1,-0.057305331550879551,F,1,-0.093316271876501572,F,1,-0.27827436118853854,F,1
MO,29,Missouri,6126452,2020-05-28 15:46:20.812598 UTC,2020-04-03,6,Post,D,2,-0.3782311450253924,D,2,-0.58385613926627611,D,2,-0.718327968124115,D,2
MO,29,Missouri,6126452,2020-05-28 15:46:20.812598 UTC,2020-03-25,4,Post,F,1.3,-0.23094430904964558,F,1,-0.5222104977339328,F,1,-0.72859208051671853,D,2
MO,29,Missouri,6126452,2020-05-28 15:46:20.812598 UTC,2020-03-04,4,Pre,F,1,0.029284118938009893,F,1,0.0055862892225372954,F,1,0.0624975882586265,F,1
AL,01,Alabama,4887871,2020-05-28 15:46:20.812598 UTC,2020-03-15,1,Post,F,1,-0.070483231836480392,F,1,-0.15798524344252132,F,1,-0.051520394044121565,F,1
WY,56,Wyoming,577737,2020-05-28 15:46:20.812598 UTC,2020-04-30,5,Post,C-,2.7,-0.27644068094693763,D,2,-0.41048199081720665,F,1,-0.99170670937277383,A,5
WY,56,Wyoming,577737,2020-05-28 15:46:20.812598 UTC,2020-04-13,2,Post,C-,2.7,-0.32420106146573391,D,2,-0.43534296514466841,F,1,-0.99560389841598385,A,5
WY,56,Wyoming,577737,2020-05-28 15:46:20.812598 UTC,2020-03-21,7,Post,C,3,-0.11396929155438754,F,1,-0.60101936863590921,C,3,-0.99270973051788025,A,5
DE,10,Delaware,967171,2020-05-28 15:46:20.812598 UTC,2020-05-05,3,Post,F,1.3,-0.31076291561503971,D,2,-0.48341412793916944,F,1,0.33275257788747714,F,1
DE,10,Delaware,967171,2020-05-28 15:46:20.812598 UTC,2020-02-27,5,Pre,F,1,0.028388010740538372,F,1,-0.022802288690862371,F,1,2.4755711177410777,F,1
DE,10,Delaware,967171,2020-05-28 15:46:20.812598 UTC,2020-03-04,4,Pre,F,1,-0.0078176727919740344,F,1,-0.011867667203221782,F,1,2.0530125012636162,F,1
MA,25,Massachusetts,6902149,2020-05-28 15:46:20.812598 UTC,2020-03-18,4,Post,F,1.3,-0.29765954882820334,D,2,-0.48400941962815086,F,1,0.38841226668581008,F,1
AK,02,Alaska,737438,2020-05-28 15:46:20.812598 UTC,2020-04-28,3,Post,C-,2.7,-0.36527891933992251,D,2,-0.263706160493754,F,1,-0.99874425244086917,A,5
AK,02,Alaska,737438,2020-05-28 15:46:20.812598 UTC,2020-03-22,1,Post,C,3,-0.41353352786233966,C,3,-0.44577647769716439,F,1,-0.99889701308535783,A,5
