FIPS,tubercolosis_mortality,AIDS_mortality,diarrheal_mortality,lower_respiratory_mortality,meningitis_mortality,hepatitis_mortality
6075,0.47,10.24,1.96,17.92,0.44,0.63
6077,0.52,2.08,5.2,28.82,0.46,0.68
6079,0.15,0.92,2.27,16.27,0.28,0.48
6081,0.28,1.11,2.02,20.82,0.27,0.31
6083,0.27,1.16,1.63,17.1,0.3,0.58
6085,0.25,0.75,2.28,17.23,0.27,0.46
6087,0.18,1.2,2.18,19.37,0.28,0.45
6089,0.26,1.07,2.58,22.3,0.38,0.73
6091,0.1,0.42,1.95,22.14,0.34,0.37
6093,0.21,1.01,1.82,21.79,0.38,0.67
6095,0.34,2.17,3.17,25.18,0.37,0.55
6097,0.19,1.64,1.91,15.29,0.28,0.51
6099,0.29,1.57,3.62,28.46,0.38,1.04
6101,0.28,0.86,3.25,26.77,0.39,0.68
6103,0.24,0.86,2.19,23.66,0.41,0.76
6105,0.21,0.89,1.95,20.93,0.38,0.65
6107,0.34,1.5,1.7,35.89,0.48,0.6
6109,0.13,0.85,2.39,23.87,0.33,0.56
6111,0.23,0.86,2.51,16.31,0.27,0.35
6113,0.28,0.95,2.46,27.54,0.32,0.69
6115,0.35,1.16,2.86,30.92,0.43,0.78
8001,0.23,1.38,2.35,24.26,0.43,0.32
8003,0.21,0.8,1.8,33.01,0.48,0.32
8005,0.23,1.38,2.35,24.26,0.43,0.32
8007,0.11,0.41,1.36,16.32,0.37,0.29
8009,0.1,0.45,1.59,26.57,0.38,0.19
8011,0.2,0.81,1.99,38.5,0.47,0.23
8013,0.23,1.38,2.35,24.26,0.43,0.32
8014,0.23,1.38,2.35,24.26,0.43,0.32
8015,0.12,0.52,1.28,22.2,0.36,0.23
8017,0.1,0.44,1.86,21.65,0.37,0.14
8019,0.11,0.57,1.64,19.23,0.36,0.26
8021,0.18,0.6,1.58,21.12,0.44,0.35
8023,0.24,0.91,1.78,23.17,0.5,0.42
8025,0.2,0.65,1.73,26.61,0.44,0.26
8027,0.09,0.41,1.24,15.94,0.33,0.21
8029,0.13,0.41,1.39,31.94,0.39,0.23
8031,0.23,1.38,2.35,24.26,0.43,0.32
8033,0.09,0.31,1.23,16.71,0.33,0.18
8035,0.1,0.21,1.75,14.22,0.25,0.11
8037,0.1,0.25,1.3,11.66,0.27,0.13
8041,0.19,0.67,1.3,20.51,0.39,0.27
8039,0.09,0.31,1.6,20.66,0.3,0.12
8043,0.16,0.98,1.39,22.13,0.44,0.45
8045,0.14,0.37,1.68,24.08,0.33,0.16
8047,0.13,0.61,1.57,17.2,0.33,0.25
8049,0.09,0.31,1.33,17.09,0.31,0.17
8051,0.09,0.31,1.28,16.02,0.34,0.21
8053,0.06,0.18,0.99,11.34,0.26,0.13
8055,0.16,0.66,1.85,33.27,0.46,0.27
8057,0.08,0.2,1.34,17.94,0.31,0.14
8059,0.23,1.38,2.35,24.26,0.43,0.32
8061,0.09,0.37,1.64,19.29,0.34,0.14
8063,0.12,0.49,1.9,27.26,0.4,0.16
8067,0.14,0.42,1.37,17.01,0.35,0.21
8065,0.14,0.45,1.38,19.25,0.36,0.24
8069,0.13,0.34,1.69,19.18,0.35,0.2
8071,0.18,1.2,1.81,26.62,0.43,0.26
8073,0.12,0.41,1.72,26.82,0.4,0.18
8075,0.16,0.58,2.27,28.33,0.4,0.22
8077,0.15,0.61,1.24,21.14,0.37,0.27
8079,0.06,0.26,1.16,17.49,0.31,0.17
8081,0.09,0.28,1.51,33.09,0.34,0.15
8083,0.18,0.52,1.73,23.37,0.43,0.23
8085,0.12,0.36,1.36,21.76,0.35,0.22
8087,0.2,0.83,2.68,34.41,0.47,0.24
8089,0.22,0.77,2.25,31.01,0.43,0.27
8091,0.08,0.26,1.07,12.6,0.28,0.18
8093,0.09,0.37,1.29,17.64,0.32,0.18
8095,0.16,0.67,2.42,30.07,0.4,0.21
8097,0.09,0.26,1.15,10.16,0.27,0.13
8099,0.18,0.74,1.88,35.08,0.44,0.22
8101,0.21,0.96,1.66,28.79,0.47,0.39
8103,0.08,0.27,1.42,20.14,0.31,0.12
8105,0.16,0.66,1.59,30.39,0.47,0.31
8107,0.07,0.2,1.32,23.74,0.27,0.12
8109,0.15,0.48,1.5,21.7,0.42,0.27
8111,0.09,0.3,1.17,15.49,0.32,0.2
8113,0.08,0.27,0.99,14.77,0.28,0.16
8115,0.11,0.44,1.82,47.19,0.38,0.18
8117,0.11,0.41,1.17,11.04,0.29,0.18
8119,0.11,0.38,1.31,17.74,0.31,0.19
8121,0.09,0.36,1.72,23.67,0.34,0.15
8123,0.23,1.38,2.35,24.26,0.43,0.32
8125,0.13,0.49,1.93,27.61,0.37,0.18
9001,0.15,1.74,2.78,25.23,0.36,0.14
9003,0.18,3.6,3.35,28.68,0.39,0.17
9005,0.1,0.7,2.31,28.18,0.31,0.12
9007,0.11,0.89,2.11,20.93,0.31,0.15
9009,0.19,3.04,4.02,31.84,0.45,0.23
9011,0.14,1.44,2.98,26.21,0.32,0.19
9013,0.13,0.89,2.32,22.15,0.26,0.14
