FIPS,other_resp_mortality,interstitial_lung_mortality,asthma_mortality,other_pneumoconiosis_mortality,coal_pneumoconiosis_mortality,asbestosis_mortality,silicosis_mortality,pneumoconiosis_mortality,COPD_mortality,chronic_respiratory_mortality
48285,0.79,4.31,1.04,0.24,0.01,0.24,0.03,0.52,32.41,39.07
48287,0.81,4.95,1.14,0.24,0.01,0.3,0.05,0.6,32.9,40.41
48289,0.9,4.97,1.31,0.25,0.02,0.38,0.05,0.69,65.92,73.79
48291,0.81,4.1,1.19,0.28,0.02,0.8,0.06,1.16,84.38,91.64
48293,0.96,6.14,1.75,0.25,0.01,0.36,0.05,0.66,77.55,87.06
48295,0.87,4.14,1.06,0.24,0.02,0.25,0.02,0.54,58.45,65.06
48297,0.79,4.55,0.87,0.2,0.01,0.21,0.02,0.44,35.27,41.94
48299,0.79,4.63,0.98,0.24,0.1,0.21,0.24,0.79,48.01,55.19
48301,0.98,4.76,1.18,0.24,0.15,0.17,0.11,0.67,84.62,92.21
48303,0.91,6.07,1.32,0.21,0.02,0.1,0.03,0.35,68.57,77.22
48305,0.87,4.79,1.24,0.23,0.02,0.08,0.03,0.36,60.46,67.72
48313,0.98,5.11,1.39,0.27,0.06,1.05,0.09,1.47,59.71,68.66
48315,1.06,4.44,1.55,0.26,0.03,0.57,0.05,0.91,89.48,97.44
48317,0.75,4.53,1.14,0.21,0.02,0.08,0.03,0.33,63.88,70.64
48319,0.72,4.88,1.07,0.24,0.02,0.16,0.1,0.52,45.81,53.0
48321,0.85,5.05,1.59,0.24,0.01,0.37,0.04,0.66,49.53,57.68
48323,0.82,7.46,0.73,0.2,0.01,0.11,0.02,0.34,26.72,36.08
48307,0.91,5.75,1.48,0.27,0.03,0.26,0.49,1.05,72.49,81.68
48309,0.75,6.56,1.25,0.2,0.01,0.21,0.02,0.43,48.34,57.33
48311,0.72,4.03,0.58,0.2,0.02,0.14,0.03,0.39,25.27,30.99
48325,0.8,5.88,0.89,0.18,0.01,0.08,0.02,0.29,40.74,48.6
