FIPS,Male_Obesity_%,Female_Obesity_%
6093,32.58,34.81
6095,32.63,37.03
6097,29.27,30.51
6099,36.33,42.26
6101,32.12,34.51
6103,34.57,36.58
6105,32.32,33.57
6107,38.51,43.72
6109,31.84,32.57
6111,31.66,29.9
6113,32.49,33.96
6115,35.3,40.06
8014,27.59,28.48
8014,27.59,28.48
8014,27.59,28.48
8014,27.59,28.48
8014,27.59,28.48
8003,30.29,33.86
8005,25.69,27.19
8007,27.88,26.36
8009,35.9,37.33
8011,38.25,43.79
8014,27.59,28.48
8014,27.59,28.48
8014,27.59,28.48
8014,27.59,28.48
8014,27.59,28.48
8014,27.59,28.48
8014,27.59,28.48
8014,27.59,28.48
8014,27.59,28.48
8014,27.59,28.48
8015,24.13,23.95
8017,36.66,37.43
8019,26.89,25.84
8021,30.57,33.57
8023,33.59,39.06
8025,37.71,46.94
8027,32.44,30.96
8029,28.11,27.69
8031,23.83,28.17
8033,30.07,30.2
8035,24.31,18.55
8037,22.0,20.89
8039,27.96,24.0
8041,25.9,28.5
8043,31.31,29.83
8045,26.73,24.29
8047,29.48,29.53
8049,25.89,24.96
8051,25.57,23.7
8053,29.56,27.41
8055,35.09,38.67
8057,28.47,29.9
8014,27.59,28.48
8014,27.59,28.48
8014,27.59,28.48
8014,27.59,28.48
8014,27.59,28.48
8061,35.34,35.2
8063,36.66,37.95
8065,25.39,26.78
8067,23.14,22.77
8069,24.94,24.34
8071,33.92,36.24
8073,35.0,36.72
8075,32.77,36.33
8077,29.83,26.98
8079,30.57,29.73
8081,33.9,33.05
8083,27.96,31.22
8085,28.72,28.22
8087,35.09,37.58
8089,36.58,40.39
8091,26.94,25.41
8093,26.85,23.91
8095,35.79,37.16
8097,21.25,18.48
8099,36.2,38.97
8101,33.08,35.62
8103,26.93,24.16
8105,31.26,33.55
8107,23.26,18.95
8109,33.34,37.63
8111,31.08,32.28
8113,29.57,28.75
8115,35.6,37.27
8117,23.66,22.26
8119,25.11,22.56
8121,34.01,34.75
8014,27.59,28.48
