FIPS,region,shift,correlation
12117,county,21.0,0.7857087589630244
12119,county,15.0,0.3084395386549064
12121,county,61.0,0.6013714570835085
12123,state,54,0.5562966299117578
12125,county,74.0,0.6001188804762618
12127,county,23.0,0.6276041162201073
12129,county,28.0,0.518469667333519
12131,county,12.0,0.575554183556903
12133,state,52,0.6673037802857738
13001,state,25,0.5800806292733282
13003,state,8,0.6149747819703146
13005,county,11.0,0.5113885402230938
13007,state,36,0.472266273714035
13009,county,12.0,0.6269685195088671
13011,state,52,0.48262804160533235
13013,county,36.0,0.6513234630846445
13015,county,33.0,0.6358255127493049
13017,state,37,0.5251675659296626
13019,county,47.0,0.5276884719552034
13021,county,15.0,0.6104241125584041
13023,state,33,0.36317008962295644
13025,county,30.0,0.3592122767103085
13027,state,24,0.683233072969561
13029,county,26.0,0.5727229229852775
13031,county,13.0,0.6078099957591663
13033,state,25,0.4172038104381711
13035,county,10.0,0.49650678075177634
13037,state,34,0.4990228117340946
13039,state,44,0.5577433188569048
13043,state,35,0.32092849242616817
13045,state,1,0.4659180953482214
13047,county,11.0,0.5460217786480839
13049,county,24.0,0.4913621803938394
13051,county,21.0,0.7138944323539044
13053,county,12.0,0.5833732054364034
13055,county,43.0,0.38846272438924634
13057,county,32.0,0.40490145361291036
13059,county,72.0,0.6060983039586623
13061,state,9,0.4685692669822188
13063,county,32.0,0.5289415182851706
13065,state,42,0.39061969472213903
13067,county,33.0,0.5588963537227116
13069,state,9,0.7177230416196975
13071,state,5,0.570436591823371
13073,county,30.0,0.5824545551774268
13075,state,11,0.6286541037842001
13077,county,30.0,0.5039808079329975
13079,state,15,0.5139277356033815
13081,state,18,0.4473434656511856
13083,state,63,0.28732742999151334
13085,state,51,0.545783042921977
13087,state,32,0.3080436540224293
13089,state,16,0.6258907807288452
13091,state,7,0.3028489361825681
13093,state,25,0.4585571947402515
13095,county,14.0,0.6634206805526958
13097,county,34.0,0.5666036402630147
13099,state,26,0.54040284855452
13101,state,60,0.4352374976770565
13103,county,22.0,0.614642141542793
13105,state,29,0.4287820155570867
13107,state,74,0.37972585117982394
13109,county,35.0,0.5702225153548205
13111,county,13.0,0.37845202122563903
13113,county,47.0,0.4638587433436757
13115,county,23.0,0.572461962428416
13117,county,50.0,0.4223443071183134
13119,state,63,0.5139683936363887
13121,state,15,0.6132536867893347
13123,state,29,0.6887855529127388
13125,county,11.0,0.4517846933855444
13127,county,16.0,0.6938023254169331
13129,county,20.0,0.6016645281231453
13131,state,37,0.5250970320956995
13133,state,52,0.45484721587757543
13135,county,38.0,0.6150686895409525
13137,county,26.0,0.6786218577895712
13139,state,34,0.7071573163452286
13141,state,49,0.6786594051924846
13143,state,5,0.3561985128443575
13145,county,35.0,0.6175470069839856
13147,state,37,0.5006666454412022
13149,state,19,0.39850446662924
13151,county,15.0,0.4053552328740716
13153,county,28.0,0.6291349240059301
13155,state,8,0.4312975091698647
13157,county,39.0,0.65033901312623
13159,state,18,0.3209100217602745
13161,state,32,0.5095354159931812
13163,county,65.0,0.5992182020712971
13165,state,74,0.5408274976095757
13167,state,33,0.6013621075124219
13169,state,63,0.4795381911087155
13171,state,7,0.4134533763392621
13173,state,74,0.4192685624229175
13175,county,32.0,0.531736155882238
13177,county,42.0,0.5315850135249791
13179,county,14.0,0.3853170042835352
13181,state,45,0.40095380314860934
13183,county,53.0,0.5122009940719713
13185,county,28.0,0.5926538480388536
13187,state,60,0.4778244446642938
13189,state,36,0.3954670624896955
13191,state,31,0.24603632679668647
13193,state,25,0.4932392565916939
13195,state,35,0.4099024094573139
13197,state,20,0.4838897515365128
13199,county,27.0,0.5322694148374971
13201,state,17,0.35587518705459703
13205,state,40,0.625801968412864
13207,state,47,0.48163204882974125
13209,state,40,0.38174962723263417
13211,county,33.0,0.23351934042460132
13213,county,14.0,0.5618972186007457
13215,county,31.0,0.7104697467654899
13217,county,11.0,0.5765163852620288
13219,county,17.0,0.3582337743479154
13221,state,17,0.5102732721634811
13223,county,33.0,0.5199367569917709
13225,state,33,0.47903592837540626
13227,state,38,0.35812005110431105
13229,state,7,0.38205353688199906
13231,state,9,0.2651612087122808
13233,county,21.0,0.5873032948781868
13235,state,65,0.3802699934891164
13237,state,33,0.4538004292033509
13239,state,8,0.4344412799630684
13241,state,29,0.4045030159807096
13243,state,57,0.619351221581862
13245,county,37.0,0.6043048133015366
13247,county,13.0,0.60975320671467
13249,state,5,0.42617381013561195
13251,state,58,0.5736633035074585
