State,State Abbreviation,County,FIPS,Socioeconomic Status,Household Composition & Disability,Minority Status & Language,Housing Type & Transportation,Epidemiological Factors,Healthcare System Factors,CCVI Score
Georgia,GA,Washington,13303,0.935052531,0.790512576,0.786692136,0.907354346,0.907672716,0.638331741,0.973575
Georgia,GA,Macon,13193,0.988857052,0.416427889,0.837631328,0.972938555,0.544094238,0.815663801,0.973257
Georgia,GA,Treutlen,13283,0.839223177,0.908309456,0.673989175,0.935370901,0.625596944,0.937917861,0.972939
Mississippi,MS,Issaquena,28055,0.996179561,0.149315505,0.773320599,1,0.70327921,0.682903534,0.97262
Georgia,GA,Cook,13075,0.878064311,0.929003502,0.741801974,0.916268704,0.692136262,0.779687997,0.972302
Alabama,AL,Choctaw,01023,0.88379497,0.946513849,0.577523082,0.853231455,0.700095511,0.953199618,0.971983
Texas,TX,Falls,48145,0.88506845,0.599172238,0.876790831,0.936326011,0.758038841,0.757720471,0.971665
Texas,TX,Cottle,48101,0.972620185,1,0.867558103,0.105698822,0.595351799,0.852276345,0.971347
South Dakota,SD,Todd,46121,0.99777141,0.582617001,0.911174785,0.990448902,0.830627189,0.274753263,0.971028
Georgia,GA,Toombs,13279,0.917542184,0.94110156,0.888252149,0.929321872,0.519579752,0.666985037,0.97071
South Carolina,SC,Allendale,45005,0.982171283,0.70296084,0.82617001,0.984399873,0.828080229,0.541228908,0.970392
Texas,TX,Refugio,48391,0.867876472,0.987583572,0.925819803,0.571474053,0.640560331,0.619229545,0.970073
Texas,TX,Hall,48191,0.964979306,0.996179561,0.959248647,0.829353709,0.102833493,0.827443489,0.969755
South Carolina,SC,Barnwell,45011,0.897166507,0.917860554,0.812798472,0.94396689,0.843680357,0.659344158,0.969436
Georgia,GA,Screven,13251,0.852913085,0.666029927,0.723973257,0.866921363,0.850684495,0.899713467,0.969118
Georgia,GA,Sumter,13261,0.954791468,0.681311684,0.899076727,0.951607768,0.681948424,0.593759949,0.9688
Arkansas,AR,Bradley,05011,0.891117479,0.937281121,0.894301178,0.937917861,0.446991404,0.774912448,0.968481
Georgia,GA,Johnson,13167,0.936962751,0.600764088,0.524355301,0.976758994,0.876472461,0.915313594,0.968163
Georgia,GA,Early,13099,0.911174785,0.82489653,0.556510665,0.861509074,0.853231455,0.907354346,0.967845
Florida,FL,Washington,12133,0.913721745,0.720789557,0.581661891,0.830945559,0.911493155,0.912129895,0.967526
Mississippi,MS,Sunflower,28133,0.992677491,0.695001592,0.781279847,0.962432346,0.94205667,0.41292582,0.967208
Arkansas,AR,Lafayette,05073,0.775867558,0.965297676,0.696593442,0.957656797,0.47341611,0.925501433,0.96689
Texas,TX,Robertson,48395,0.614135626,0.574657752,0.848137536,0.877109201,0.969436485,0.859917224,0.966571
Georgia,GA,Grady,13131,0.864056033,0.975803884,0.87965616,0.607131487,0.675262655,0.801018784,0.966253
Kentucky,KY,Nicholas,21181,0.932187202,0.899395097,0.240369309,0.965934416,0.945240369,0.798153454,0.965934
North Carolina,NC,Greene,37079,0.971028335,0.892072588,0.958930277,0.958611907,0.039159503,0.99968163,0.965616
Texas,TX,Hale,48189,0.840178287,0.467048711,0.969754855,0.928048392,0.958611907,0.508755174,0.965298
Georgia,GA,Wilkinson,13319,0.852276345,0.644062401,0.691499522,0.832855778,0.780324737,0.944603629,0.964979
Louisiana,LA,St. Helena,22091,0.959885387,0.947150589,0.64851958,0.937599491,0.753900032,0.538363578,0.964661
Florida,FL,Lafayette,12067,0.962750716,0.423113658,0.916587074,0.983763133,0.474052849,0.978350844,0.964343
Tennessee,TN,Haywood,47075,0.838904807,0.800063674,0.782871697,0.535179879,0.981534543,0.876790831,0.964024
Mississippi,MS,Sharkey,28125,0.990767272,0.928685132,0.666029927,0.974848774,0.953836358,0.308500478,0.963706
Georgia,GA,Talbot,13263,0.863737663,0.768545049,0.770136899,0.479783508,0.964979306,0.861190704,0.963387
Florida,FL,Suwannee,12121,0.82457816,0.910538045,0.709328239,0.860235594,0.70709965,0.978987584,0.963069
Georgia,GA,Baker,13007,0.735434575,0.699777141,0.801337154,0.64692773,0.815345431,0.965616046,0.962751
Texas,TX,Shelby,48419,0.889207259,0.8834766,0.914676855,0.694683222,0.830308819,0.816300541,0.962432
Kentucky,KY,Wolfe,21237,0.99872652,0.996816301,0.003183699,0.711875199,0.910219675,0.843043617,0.962114
Mississippi,MS,Claiborne,28021,0.993314231,0.791467685,0.851321235,0.978669214,0.685768863,0.414836039,0.961796
Mississippi,MS,Copiah,28029,0.94110156,0.535498249,0.842725247,0.863419293,0.94269341,0.660299268,0.961477
New Mexico,NM,McKinley,35031,0.976758994,0.849411016,0.979305954,0.948742439,0.384909265,0.465456861,0.961159
Texas,TX,McMullen,48311,0.631964343,0.99904489,0.94078319,0.258834766,0.567653613,0.850684495,0.96084
Mississippi,MS,Wilkinson,28157,0.994269341,0.442215855,0.740846864,0.926456543,0.769181789,0.697548551,0.960522
North Carolina,NC,Anson,37007,0.923591213,0.41165234,0.790194206,0.854823305,0.670168736,0.99840815,0.960204
Tennessee,TN,Hardeman,47069,0.966889526,0.730659026,0.617637695,0.611907036,0.899713467,0.76281439,0.959885
Missouri,MO,New Madrid,29143,0.922317733,0.988538682,0.385227635,0.870423432,0.651066539,0.94141993,0.959567
Missouri,MO,Mississippi,29133,0.930595352,0.832219039,0.387774594,0.874243871,0.872333652,0.937281121,0.959249
Virginia,VA,Lunenburg,51111,0.814390322,0.721744667,0.711238459,0.910538045,0.875835721,0.853868195,0.95893
New Mexico,NM,Guadalupe,35019,0.868831582,0.957338427,0.971665075,0.984081503,0.23495702,0.509073543,0.958612
California,CA,Lake,06033,0.748806113,0.851957975,0.862782553,0.914995224,0.843361987,0.64883795,0.958294
Georgia,GA,Webster,13307,0.698503661,0.964979306,0.906399236,0.206303725,0.676217765,0.950971028,0.957975
Georgia,GA,Brooks,13027,0.908946195,0.539318688,0.833810888,0.815027061,0.757402101,0.927411652,0.957657
Texas,TX,Crockett,48105,0.553963706,0.559057625,0.957020057,0.93887297,0.662527857,0.655205349,0.957338
Virginia,VA,Brunswick,51025,0.872652022,0.852276345,0.760267431,0.515440942,0.963387456,0.901305317,0.95702
Mississippi,MS,Yazoo,28163,0.972301815,0.749124483,0.847500796,0.70423432,0.889207259,0.653931869,0.956702
Arkansas,AR,Lee,05077,0.985036613,0.670168736,0.753900032,0.744985673,0.796243235,0.930913722,0.956383
Louisiana,LA,Avoyelles,22009,0.906717606,0.898439987,0.635784782,0.934415791,0.937917861,0.593123209,0.956065
Kentucky,KY,McCreary,21147,0.996816301,0.444444444,0.324737345,0.9385546,0.858962114,0.838586437,0.955747
Oklahoma,OK,Caddo,40015,0.785737026,0.916905444,0.899713467,0.837631328,0.867876472,0.558420885,0.955428
North Carolina,NC,Jones,37103,0.94364852,0.800382044,0.818847501,0.933779051,0.255014327,0.994587711,0.95511
Texas,TX,Moore,48341,0.790194206,0.135307227,0.988538682,0.860553964,0.745622413,0.783190067,0.954791
Texas,TX,Camp,48063,0.797198344,0.912766635,0.935689271,0.597262018,0.731932506,0.714103789,0.954473
Georgia,GA,Tattnall,13267,0.801337154,0.416109519,0.838268067,0.966571156,0.539000318,0.958930277,0.954155
Tennessee,TN,Monroe,47123,0.916268704,0.789875836,0.290353391,0.723973257,0.996497931,0.804202483,0.953836
Georgia,GA,Emanuel,13107,0.956383317,0.910856415,0.771092009,0.948424069,0.58802929,0.585163961,0.953518
South Dakota,SD,Dewey,46041,0.977077364,0.479146769,0.694683222,0.987583572,0.809296402,0.525628781,0.9532
Oklahoma,OK,Le Flore,40079,0.839541547,0.969118115,0.728748806,0.745940783,0.775549188,0.64851958,0.952881
Oklahoma,OK,Tillman,40141,0.816618911,0.88124801,0.936007641,0.780006367,0.692773002,0.52849411,0.952563
North Carolina,NC,Martin,37117,0.878701051,0.895256288,0.739255014,0.228271251,0.806431073,0.968481375,0.952245
Illinois,IL,Alexander,17003,0.907672716,0.921044253,0.454313913,0.639286851,0.827125119,0.973256925,0.951926
Arkansas,AR,Lincoln,05079,0.807067813,0.510665393,0.681630054,0.929958612,0.727793696,0.930276982,0.951608
Louisiana,LA,De Soto,22031,0.869468322,0.951607768,0.641833811,0.738936644,0.929003502,0.653295129,0.951289
Arkansas,AR,Fulton,05049,0.903533906,0.921999363,0.191977077,0.868513212,0.94396689,0.843998727,0.950971
Mississippi,MS,Scott,28123,0.93919134,0.991722381,0.853231455,0.813435212,0.626870423,0.665074817,0.950653
Oklahoma,OK,Sequoyah,40135,0.931550462,0.970073225,0.711556829,0.735752945,0.701368991,0.638013372,0.950334
Texas,TX,Gonzales,48177,0.643107291,0.857688634,0.973256925,0.955428208,0.436166826,0.622731614,0.950016
Florida,FL,Hardee,12049,0.918815664,0.53008596,0.960840497,0.946195479,0.207258835,0.973893664,0.949698
Tennessee,TN,Crockett,47033,0.785418656,0.886978669,0.780006367,0.737981535,0.693409742,0.88156638,0.949379
Tennessee,TN,Lauderdale,47097,0.888888889,0.853231455,0.621458134,0.565106654,0.93982808,0.876154091,0.949061
Florida,FL,Glades,12043,0.913085005,0.581343521,0.903533906,0.848137536,0.698185291,0.958293537,0.948742
North Carolina,NC,Cumberland,37051,0.675581025,0.604902897,0.885386819,0.503979624,0.907354346,0.985991722,0.948424
Texas,TX,Freestone,48161,0.671760586,0.799426934,0.878382681,0.696275072,0.759949061,0.727475326,0.948106
Missouri,MO,Lawrence,29109,0.757083731,0.893664438,0.508436804,0.76663483,0.936962751,0.747532633,0.947787
Oklahoma,OK,Marshall,40095,0.64979306,0.985673352,0.806431073,0.800382044,0.82266794,0.624005094,0.947469
Texas,TX,Cameron,48061,0.945877109,0.700413881,0.99745304,0.681630054,0.76504298,0.320598535,0.947151
Alabama,AL,Bullock,01011,0.947150589,0.367398918,0.813753582,0.453995543,0.951607768,0.860872334,0.946832
Georgia,GA,Twiggs,13289,0.94014645,0.820439351,0.510665393,0.408468641,0.759630691,0.954791468,0.946514
South Carolina,SC,Lee,45061,0.958930277,0.495065266,0.699140401,0.82585164,0.791149316,0.810251512,0.946195
North Dakota,ND,Rolette,38079,0.919770774,0.982171283,0.70487106,0.990767272,0.801337154,0.272843044,0.945877
Texas,TX,Wharton,48481,0.680993314,0.793377905,0.959567017,0.88092964,0.477554919,0.776504298,0.945559
Georgia,GA,Hancock,13141,0.877427571,0.142311366,0.82425979,0.924546323,0.836676218,0.846864056,0.94524
Texas,TX,Caldwell,48055,0.554282076,0.347659981,0.952562878,0.844635466,0.967844635,0.685768863,0.944922
Alabama,AL,Chambers,01017,0.696593442,0.697230181,0.58548233,0.679083095,0.984718243,0.853231455,0.944604
Kentucky,KY,Estill,21065,0.991404011,0.902260427,0.013371538,0.721426297,0.950971028,0.769181789,0.944285
