FIPS,region,shift,correlation
05093,county,50.0,0.4919780921008863
05095,county,51.0,0.0
05097,county,69.0,0.018329649931393844
05099,state,18,0.3667612041082836
05101,county,53.0,0.3102924741758999
05103,county,11.0,0.0
05105,county,61.0,0.0
05107,county,37.0,0.2182534917654741
05109,county,53.0,0.30206090222721915
05111,county,27.0,0.18619627814999462
05113,state,7,0.05766177155224929
05115,county,15.0,0.5886390815159455
05117,state,63,0.16027772439361274
05119,county,50.0,0.3388114687923969
05121,state,62,0.027788084938289454
05123,county,13.0,0.5198957379609356
05125,county,42.0,0.5656352582173139
05127,state,60,0.0029283751066632242
05129,county,74.0,0.0240398932108821
05131,county,62.0,0.44790814359317427
05133,county,20.0,0.7221066328363126
05135,county,4.0,0.042284969750322664
05137,county,38.0,0.34433361545676733
05139,county,26.0,0.713100772011561
05141,state,0,0.09146480256734717
05143,county,21.0,0.5592920526816108
05145,county,57.0,0.20597458524926118
05147,county,11.0,0.0
05149,county,43.0,0.7715892476653661
06001,county,32.0,0.7795289258194775
06003,state,5,0.5192396755362008
06005,state,29,0.5508744483148393
06007,county,24.0,0.559256137863784
06009,state,39,0.4514577585742747
06011,state,34,0.5684170758740196
06013,county,48.0,0.7140006787536719
06015,state,4,0.419456900268074
06017,state,28,0.5919168967160908
06019,county,44.0,0.72475838695786
06021,county,52.0,0.419951085662823
06023,county,38.0,0.4879775443282505
06025,county,33.0,0.6847326109839093
06027,state,49,0.45004748889147395
06029,county,22.0,0.6752741913523329
06031,state,66,0.5444040886882375
06033,county,12.0,0.20013373938624082
06035,county,33.0,0.6530533875244938
06037,county,34.0,0.897089258805124
06039,county,36.0,0.6956085870599312
06041,county,21.0,0.6321175154158514
06043,state,36,0.6307264675407834
06045,state,53,0.2570033593078201
06047,county,40.0,0.7962492736280697
06051,state,5,0.4913687837972939
06053,county,42.0,0.6568760998550854
06055,county,34.0,0.6826974346643772
06057,state,5,0.5734832930058289
06059,county,20.0,0.7677917533552626
06061,state,30,0.5682529034187165
06063,state,7,0.6468944830218385
06065,county,30.0,0.7599652822685712
06067,county,33.0,0.5772903827622762
06069,county,28.0,0.7506153003806646
06071,county,38.0,0.6890835161968769
06073,state,30,0.7255562493442441
06075,state,40,0.8205237048029703
06077,county,41.0,0.7134205040429888
06079,county,25.0,0.6088646131211662
06081,county,38.0,0.786272558346649
06083,state,46,0.66430715675462
06085,county,34.0,0.6729626102530007
06087,county,27.0,0.6012336512949229
06089,state,2,0.5249016942980603
06091,state,33,0.4265069286928806
06093,state,0,0.5016125367326282
06095,county,23.0,0.6708046609068232
06097,county,61.0,0.44052350918732136
06099,county,41.0,0.683267625283877
06101,county,25.0,0.687795758776283
06103,state,14,0.3578216633471831
06105,state,6,0.4950747738565051
06107,state,40,0.808806762358938
06109,state,17,0.5847045916880238
06111,county,35.0,0.6703629186918889
06113,county,33.0,0.7653106240849512
06115,county,28.0,0.5317345410647117
08001,county,33.0,0.6262237381596706
08003,county,71.0,0.6704790977489262
08005,county,30.0,0.628477690850359
08007,state,38,0.5150608655102612
08009,state,38,0.5086164768352474
08011,county,74.0,0.7851140011895145
08013,county,14.0,0.6845096645876015
08014,county,11.0,0.7211257018983048
08015,county,22.0,0.7425377693181453
08017,state,40,0.33923104540024107
08019,state,25,0.4945306382456134
08021,state,42,0.4273120897907557
08023,state,58,0.44466598643495353
08025,county,69.0,0.7795209905622171
08027,state,51,0.45520534195812096
08029,state,56,0.7348027870324926
08031,county,30.0,0.4958272736163915
08033,state,38,0.4108787403202145
08035,county,23.0,0.7150080025272264
08037,county,18.0,0.5719829275333085
08039,state,37,0.6410707281693421
08041,county,34.0,0.7116056325443443
08043,state,37,0.6262412472075566
08045,county,41.0,0.7253353088223448
08047,state,24,0.3031443980932144
08049,state,36,0.3897319786317547
08051,state,33,0.3440775798267118
08053,state,55,0.41285470181711054
08055,state,30,0.5301979270567474
08057,state,74,0.12175961949158393
08059,state,30,0.6672334615733015
08061,state,47,0.5893605620544107
08063,state,37,0.5860067901617184
08065,county,54.0,0.467819493217323
08067,county,65.0,0.5494639137719991
08069,state,29,0.706436878811745
08071,state,70,0.4608774933872518
08073,state,40,0.4644954214565266
08075,county,26.0,0.6622021330167774
08077,county,29.0,0.5464188276752864
08079,state,1,0.3389507856359738
08081,state,40,0.609481148945205
08083,state,53,0.5742926683757484
08085,state,54,0.6545520840254274
08087,state,57,0.5487149390868991
08089,state,43,0.6646149464403457
08091,state,56,0.3547464287094072
08093,state,33,0.4405996008272769
08095,state,63,0.45387929422999235
08097,state,74,0.4890149285506329
08099,state,39,0.7009204718749071
08101,county,32.0,0.8861196244196293
08103,state,42,0.6071392404071251
08105,county,74.0,0.5479770345369541
08107,state,36,0.5825972418301328
08109,county,42.0,0.6272037139208895
08111,state,51,0.2886995497461874
08113,county,41.0,0.40979274187578424
08115,state,11,0.45958012011069566
08117,county,56.0,0.4727316706517293
08119,state,25,0.5740327477984862
08121,state,59,0.3589517109944927
08123,county,25.0,0.6235670830993386
08125,county,33.0,0.6026899436317072
09001,state,49,0.7742042347350704
09003,state,53,0.7913430803721111
09005,county,38.0,0.7915020679665967
09007,county,56.0,0.8481308143327645
09009,county,63.0,0.8200417989465721
09011,state,55,0.72187217209757
09013,state,50,0.7577140291901123
09015,county,34.0,0.7083451503028062
10001,county,33.0,0.8470509550160247
10003,state,33,0.6232860740608372
10005,state,43,0.7545398947584794
11001,state,62,0.6659941268397885
12001,county,14.0,0.6196123695685644
12003,county,50.0,0.43537767097978264
12005,county,35.0,0.7482901027727351
12007,state,74,0.522802849771725
12009,county,19.0,0.8180743776445556
12011,county,31.0,0.9070615823295799
12013,state,49,0.6191943379159155
12015,county,17.0,0.6561720069627985
12017,state,42,0.2720735196352385
12019,county,18.0,0.6403679315069302
12021,state,13,0.7634950903748471
12023,county,15.0,0.7010721566362034
12027,county,55.0,0.6029354952381982
12029,state,57,0.6479543245068886
12031,county,20.0,0.7492159745894778
12033,county,26.0,0.7685226967297349
12035,county,12.0,0.5351032381364115
12037,county,71.0,0.7041956083710921
12039,state,49,0.6749761431511958
12041,county,43.0,0.5503621001022102
12043,county,63.0,0.5735713616301773
12045,state,53,0.7037037993339973
12047,county,10.0,0.35066643187018426
